title,fulltext,prompt,authors_1,authors_2,authors_3,authors_4,authors_5,authors_6,authors_7,authors_8,meta_1,meta_2,meta_3,meta_4,meta_5,meta_6,meta_7,meta_8,url
Mehr Aufklärung durch den Periodischen Sicherheitsbericht,"Peggy Schierenbeck, zuständige Berichterstatterin:

Heute hat Bundesinnenministerin Nancy Faeser die Polizeiliche Kriminalstatistik für das Jahr 2022 vorgestellt. Mit rund 5,6 Millionen Straftaten steigt die Kriminalität seit Beginn der Corona-Krise leider wieder leicht an. Sowohl Gewaltkriminalität als auch Diebstahlsdelikte nehmen wieder zu. Im Cyberbereich ist von einem großen Anteil an nicht angezeigter Straftaten auszugehen. Um ein noch besseres Bild der Lage zu erhalten, brauchen wir einen regelmäßigen Sicherheitsbericht.

„Die Kriminalität ist leider wieder auf Vorkrisen-Niveau. Besonders schockierend ist, dass immer mehr Kinder und Jugendliche zu Tatverdächtigen werden. Das Weiterleiten von kinderpornografischen Videos und Bildern in Chatgruppen zeigt, wie ahnungslos und sorglos sich die jungen Täter:innen im Internet bewegen. Es ist unser aller gemeinsamer Aufgabe, Kinder und Jugendliche über die möglichen Konsequenzen einer solchen Straftat aufzuklären und als Opfer auch solche Straftaten anzuzeigen.

Die Kriminalstatistik zeigt uns jedoch nur die Fälle, die der Polizei bekannt geworden sind. Um ein Bild über die gesamte Kriminalitäts- und Sicherheitslage – einschließlich der Fälle, die nicht zur Anzeige gebracht werden – in Deutschland zu erhalten, brauchen wir einen regelmäßigen Sicherheitsbericht. Nur unter Beleuchtung auch des Dunkelfeldes lassen sich die Fallzahlen besser interpretieren und kann gezielt präventiv reagiert werden. Darum ist es gut, dass wir den Periodischen Sicherheitsbericht dauerhaft gesetzlich verankern werden.“","Peggy Schierenbeck, zuständige Berichterstatterin:",Peggy Schierenbeck,", zuständige Berichterstatterin:",NA,NA,NA,NA,NA,NA,30.03.2023,20. Wahlperiode,54,Inneres,Peggy Schierenbeck,Innenpolitik,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/mehr-aufklaerung-periodischen-sicherheitsbericht
Europäisches Wahlrecht umfassend reformieren,"Jörg Nürnberger und Axel Schäfer, zuständige Berichterstatter der SPD-Bundestagsfraktion; Chantal Kopf, zuständige Berichterstatterin von BÜNDNIS 90/DIE GRÜNEN; Valentin Abel, zuständiger Berichterstatter der FDP-Bundestagsfraktion:

Die für das Europäische Wahlrecht zuständigen Berichterstatter der SPD-Bundestagsfraktion, von BÜNDNIS 90/DIE GRÜNEN und der FDP-Bundestagsfraktion erklären:

„Heute bringen die Koalitionsfraktionen eine gemeinsame Position zur Weiterentwicklung des europäischen Wahlrechts mit Blick auf die Europawahlen 2029 in den Bundestag ein.

Die Stellungnahme unterstützt grundsätzlich den Vorschlag des Europäischen Parlaments vom Mai 2022 zur Reform des Europäischen Wahlrechts. Die Fraktionen wollen insbesondere transnationale Listen einführen und das Spitzenkandidatenprinzip verankern. Damit lösen wir ein Versprechen aus dem Koalitionsvertrag ein. Die Bundesregierung wird mit der Stellungnahme ein starkes Mandat für die Verhandlungen mit den anderen Mitgliedstaaten im Rat haben. Unser Ziel ist die Stärkung der europäischen Demokratie und der demokratischen Legitimation des Europäischen Parlaments. Auch bei weiteren Punkten unterstützen wir die Grundlinie des Vorschlags des Europäischen Parlaments: angemessene Repräsentanz aller Mitgliedstaaten bei der Verteilung der transnationalen Listenplätze und einheitliche Absenkung des aktiven Wahlrechts bei der Europawahl auf 16 Jahre. Bei der für die großen Mitgliedstaaten vorgesehenen Mindestschwelle spricht sich die Stellungnahme für eine moderatere Bandbreite, zwischen zwei und fünf Prozent, aus, die ausreichend die Funktionsweise des Europäischen Parlaments als Gesetzgeber sichern wird.

Als einen ersten Schritt auf dem Weg zu einer Modernisierung des europäischen Wahlrechts werden wir in den kommenden Wochen dem noch nicht ratifizierten Direktwahlakt von 2018 zustimmen. Damit folgen wir der von der vorherigen Bundesregierung im Rat gemachten Zusage, für das Inkrafttreten der gemeinsam mit dem Europäischen Parlament beschlossenen damaligen Reform zu sorgen. Die Umsetzung des Direktwahlakts 2018 in nationales Recht erfolgt frühestens erst mit Wirkung für die Europawahlen 2029. Mit unserer Stellungnahme unterstützen wir das Europäische Parlament in seinem Bestreben, das europäische Wahlrecht umfassend zu modernisieren. Für die kommenden Europawahlen 2024 ist alleine die bereits beschlossene Absenkung des Wahlalters auf 16 Jahre relevant.“","Jörg Nürnberger und Axel Schäfer, zuständige Berichterstatter der SPD-Bundestagsfraktion;
Chantal Kopf, zuständige Berichterstatterin von BÜNDNIS 90/DIE GRÜNEN;
Valentin Abel, zuständiger Berichterstatter der FDP-Bundestagsfraktion: ",Jörg Nürnberger," und Axel Schäfer, zuständige Berichterstatter der SPD-Bundestagsfraktion;
Chantal Kopf, zuständige Berichterstatterin von BÜNDNIS 90/DIE GRÜNEN;
Valentin Abel, zuständiger Berichterstatter der FDP-Bundestagsfraktion: ",NA,NA,NA,NA,NA,NA,30.03.2023,20. Wahlperiode,53,Angelegenheiten der Europäischen Union,"Jörg Nürnberger, Axel Schäfer",Europa,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/europaeisches-wahlrecht-umfassend-reformieren
„Schalten jetzt den Turbo an“,"In der aktuellen Folge des Podcasts ""Lage der Fraktion"" ist Lars Klingbeil, Bundestagsabgeordneter und SPD-Chef, zu Gast. Er erklärt, warum die Ergebnisse des Koalitionsausschusses die Klimaneutralität voranbringen, wie die Stimmung in der Ampel ist – und wo investiert werden muss.

Hier finden Sie die aktuelle Episode: https://www.spdfraktion.de/podcast. Gerne können Sie daraus zitieren oder Audio-Ausschnitte für Ihre redaktionelle Berichterstattung verwenden. (Die ""Lage der Fraktion“ gibt es fast überall, wo es Podcasts gibt.)

Lars Klingbeil…

...zu den Ergebnissen des Koalitionsausschusses:

„Bahntrassen, Straßen, Netze, Strom, Wasserstoff, digitale Netze, erneuerbare Energien, Fotovoltaik, Windräder - alles das kann jetzt viel schneller ausgebaut werden. Das ist ein riesiger Erfolg. Und es wird das Land sehr nachhaltig verändern. Und in einem Turbo, den wir jetzt anschalten können mit den Verabredungen von gestern.“ (ab Minute 08:15)

„Die Bürger:innen werden nicht im Stich gelassen, sondern wir sorgen dafür, dass sie auf diesem Weg, wenn wir Klimaneutralität und Klimaschutz erreichen wollen, auch im Mittelpunkt stehen und die Politik sich um sie kümmert.“ (ab Minute 08:15)

... zu den Sektorzielen im Klimaschutzgesetz:

„Die Bundesregierung insgesamt wird nicht aus der Verantwortung gelassen. Es gibt eine Gesamtrechnung bei den Zielen, die muss die Bundesregierung erreichen. Dazu ist sie gesetzlich verpflichtet. Und wenn sie das nicht tut, dann kann sie auch gezwungen werden, diese Klimaschutzziele zu erreichen. Das heißt, es gibt eine Gesamtverantwortung.“ (ab Minute 11:59)

...zur Ampel:

„Ich glaube, dass die letzten drei Tage den Teamgeist noch mal gestärkt haben, das war wirklich drei Tage lang konstruktiv, also wirklich konstruktiv. Und das ist jetzt noch mal eine Chance für einen neuen Aufbruch.“ (ab Minute 16:05)

...zum Haushalt:

„Wir müssen für die Sicherheit Geld investieren. Wir müssen für soziale Gerechtigkeit Geld investieren. Und wir müssen für die ökonomische Modernisierung, also Klimaschutz, der auch Arbeitsplätze schaffen wird, Geld zur Verfügung haben.“ (ab Minute 18:53)

„Aber ich sage auch sehr klar: Wenn ich am Ende vor der Frage stehe, ob wir in Sicherheit, soziale Gerechtigkeit und ökonomischen Aufbruch investieren oder uns an die Schuldenbremse klammern, dann habe ich da eine klare Priorität.“ (ab Minute 19:42)

 ","In der aktuellen Folge des Podcasts ""Lage der Fraktion"" ist Lars Klingbeil, Bundestagsabgeordneter und SPD-Chef, zu Gast. Er erklärt, warum die Ergebnisse des Koalitionsausschusses die Klimaneutralität voranbringen, wie die Stimmung in der Ampel ist – und wo investiert werden muss. ",NA,NA,NA,NA,NA,NA,NA,NA,29.03.2023,20. Wahlperiode,52,Lars Klingbeil,"Klimaschutz, Bundeshaushalt, Verkehr",PDF,NA,NA,https://www.spdfraktion.de/presse/pressemitteilungen/schalten-turbo
Aktionsprogramm  Natürlicher Klimaschutz verabschiedet,"Heute wurde das Aktionsprogramm Natürlicher Klimaschutz (ANK) im Kabinett verabschiedet. Mit einem Volumen von rund vier Milliarden Euro sollen natürliche Kohlenstoffspeicher wie Moore, Wälder und Böden gestärkt werden.

Anna Kassautzki, zuständige Berichterstatterin:

„Das ANK ist ein guter Schritt in Richtung nasse Landwirtschaft und praktischer Moorschutz. Nasse Landwirtschaft heißt, aktuell trockengelegte Moorböden nach Wiedervernässung landwirtschaftlich zu nutzen — beispielsweise durch Rohrkolben, Torfmoose oder Beweidung. Ziel ist es, den Boden so zu bewirtschaften, dass er mehr Kohlenstoff speichert. Dieser neue Ansatz ist dringend notwendig, denn im Moment emittieren unsere Moorböden große Mengen CO2, statt sie zu speichern. Wir brauchen nun vom Bundesumweltministerium einen klaren Fahrplan und konkrete Zielvorgaben, wie die 4 Milliarden Euro zügig in die Fläche kommen. Dafür ist es notwendig, Planungshindernisse aus dem Weg zu räumen. Regionale Planungsstellen, wie die Moorklimaschutzagenturen in Mecklenburg-Vorpommern, wären ein guter Anfang, um Wiedervernässungsprojekte mit den Menschen vor Ort optimal zu unterstützen.“

Franziska Kersten, zuständige Berichterstatterin:

„Um jetzt schnell in die Umsetzung zu kommen, müssen wir auch mit den bundeseigenen Flächen vorangehen. Nicht nur beim Einschlagsstopp in naturnahen Buchenwäldern, sondern auch bei der Moorwiedervernässung sehen wir etwa durch die ehemaligen volkseigenen Flächen der DDR, die sog. BVVG-Flächen, große Chancen. Laut Koalitionsvertrag wollen wir diese für Ausgleichs- und Ersatzmaßnahmen sowie Klima- und Artenschutz nutzen. Wir können hier durch erfolgreiche Pilotprojekte ein Zeichen setzen und Landwirtinnen und Landwirte von der Machbarkeit von Paludikulturen überzeugen. Gleichzeitig sind diese Flächen auch bestens geeignet für die Einrichtung von Naturschutzgebieten und den Schutz von Biodiversität.""","Heute wurde das Aktionsprogramm Natürlicher Klimaschutz (ANK) im Kabinett verabschiedet. Mit einem Volumen von rund vier Milliarden Euro sollen natürliche Kohlenstoffspeicher wie Moore, Wälder und Böden gestärkt werden. ",Anna Kassautzki,", zuständige Berichterstatterin:",Franziska Kersten,", zuständige Berichterstatterin:",NA,NA,NA,NA,29.03.2023,20. Wahlperiode,51,"Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz, Ernährung und Landwirtschaft","Anna Kassautzki, Dr. Franziska Kersten","Umwelt, Klimaschutz",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/aktionsprogramm-natuerlicher-klimaschutz-verabschiedet
Mit der Ausbildungsgarantie bieten wir jungen Menschen eine Perspektive,"Im Kabinett ist heute das Aus- und Weiterbildungsgesetz beschlossen worden. Darin werden wichtige Instrumente zur Stärkung der beruflichen und allgemeinen Weiterbildung geschaffen.

Martin Rosemann, arbeitsmarkt- und sozialpolitischer Sprecher:
„Das Erste Weiterbildungsgesetz hat insbesondere zum Ziel, die Weiterbildungsförderung Beschäftigter zu verbessern und die Ausbildungsgarantie umzusetzen. Dazu werden Weiterbildungsmaßnahmen für Beschäftigte durch feste Fördersätze und die grundsätzliche Öffnung für alle Betriebe vereinfacht. Außerdem wird ein Qualifizierungsgeld eingeführt, um Betriebe im Strukturwandel bei der Qualifizierung ihrer Beschäftigten besser zu unterstützen.

Ich freue mich, dass dieses wichtige Ampelprojekt nun in die parlamentarische Abstimmung kommt und wir so bald weitere wichtige Instrumente zur Verfügung haben, um im aktuellen Fach- und Arbeitskräftemangel die inländischen Potenziale des Arbeitsmarktes besser zu heben. Dass Beschäftigte möglichst leicht, günstig und ohne unnötige Bürokratie an Weiterbildungen teilnehmen können, ist im Strukturwandel ein wichtiger Baustein zur Arbeitskräftesicherung.“

 

Oliver Kaczmarek, bildungspolitischer Sprecher:
„Mit der Ausbildungsgarantie realisieren wir ein wichtiges Vorhaben des Koalitionsvertrages. Die Einführung der Ausbildungsgarantie ist nicht nur ein Bekenntnis zur beruflichen Bildung, sondern zeigt auch, dass wir junge Menschen im Blick haben. Sie wurden gerade in den Jahren der Pandemie oft vergessen. Mit der Ausbildungsgarantie bieten wir jungen Menschen eine Perspektive, wenn sie keinen Ausbildungsplatz erhalten. Wir wollen darüber hinaus das System der beruflichen Bildung weiterentwickeln. Hierzu werden wir beispielsweise das Aufstiegs-BAföG reformieren.

Mit der Ausbildungsgarantie wird ein gefördertes Berufsorientierungspraktikum und ein Mobilitätszuschuss eingeführt, die Teilnahme an Einstiegsqualifizierungen erleichtert und die außerbetriebliche Berufsausbildung auch für marktbenachteiligte Jugendliche geöffnet. Die Ausbildungsgarantie wird als Rechtsanspruch auf außerbetriebliche Ausbildung umgesetzt, die greift, wenn alle Bemühungen - auch mit Unterstützung durch die Bundesagentur für Arbeit - scheitern, einen betrieblichen Ausbildungsplatz zu finden.“",Im Kabinett ist heute das Aus- und Weiterbildungsgesetz beschlossen worden. Darin werden wichtige Instrumente zur Stärkung der beruflichen und allgemeinen Weiterbildung geschaffen. ,Martin Rosemann,", arbeitsmarkt- und sozialpolitischer Sprecher:",Oliver Kaczmarek,", bildungspolitischer Sprecher:",NA,NA,NA,NA,29.03.2023,20. Wahlperiode,50,"Arbeit und Soziales, Bildung und Forschung","Dr. Martin Rosemann, Oliver Kaczmarek","Arbeit, Ausbildung, Weiterbildung",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/ausbildungsgarantie-bieten-wir-jungen-menschen-perspektive
"Wer Recht hat, soll auch recht bekommen","Das Bundeskabinett hat heute den lang erwarteten Gesetzentwurf für eine Verbandsklage für Verbraucherverbände beschlossen. Im parlamentarischen Verfahren wollen wir den kollektiven Rechtsschutz im Sinne der Verbraucherinnen und Verbraucher weiter stärken.

Nadine Heselhaus, verbraucherpolitische Sprecherin:

„Der lang erwartete Gesetzentwurf, mit dem Verbraucherverbände zukünftig Schadenersatz und auch andere Leistungen im Namen der Verbraucher:innen kollektiv einklagen können, enthält gute Ansätze für eine effektive Rechtsdurchsetzung bei Massenschäden.

Im parlamentarischen Verfahren werden wir uns dafür einsetzen, dass das neue Klageverfahren seine Ziele nachhaltig erreicht: Verbraucher:innen einfach und schnell zu ihrem Recht verhelfen, die Justiz von Massenverfahren entlasten und den redlichen Wettbewerb stärken.

Wir werden den Gesetzentwurf genau prüfen und darauf achten, dass die Hürden für Verbände nicht zu hoch sind; sei es bei der Anzahl der glaubhaft zu machenden Fälle oder bei den Kosten.“

Luiza Licina-Bode, zuständige Berichterstatterin:

„Verbraucher:innen sollen in der Breite von den Klagen profitieren und nicht weiterhin aus Unsicherheit in Individualklagen gezwungen werden.

Wir begrüßen daher, dass die Frist zur Eintragung ins Klageregister entgegen der vorherigen Diskussion länger ausfällt und nun bei zwei Monaten nach dem ersten Termin liegt. Damit Verbraucher:innen rechtssicher von dem Klageverfahren profitieren können, müssen aus Sicht der SPD–Bundestagsfraktion noch weitere Stellschrauben gedreht werden. Hierfür werden wir uns im parlamentarischen Verfahren die nötige Zeit nehmen.“",Das Bundeskabinett hat heute den lang erwarteten Gesetzentwurf für eine Verbandsklage für Verbraucherverbände beschlossen. Im parlamentarischen Verfahren wollen wir den kollektiven Rechtsschutz im Sinne der Verbraucherinnen und Verbraucher weiter stärken.,Nadine Heselhaus,", verbraucherpolitische Sprecherin:",Luiza Licina-Bode,", zuständige Berichterstatterin:",NA,NA,NA,NA,29.03.2023,20. Wahlperiode,49,Recht,"Nadine Heselhaus, Luiza Licina-Bode","Rechtspolitik, Verbraucherschutz",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/recht-hat-recht-bekommen
Ein modernes Einwanderungsrecht für ein modernes Einwanderungsland,"Mit dem heutigen Kabinettsbeschluss haben die geplanten Verbesserungen unseres Einwanderungsrechts endlich die erste Hürde genommen. Der von Innenministerin Nancy Faeser und Arbeitsminister Hubertus Heil vorgelegte Entwurf eines Gesetzes zur Weiterentwicklung der Fachkräfteeinwanderung wird nun zeitnah im Bundestag beraten. Der flankierenden Verordnung muss der Bundesrat zustimmen.

Sebastian Hartmann, innenpolitischer Sprecher:

„Ein modernes Einwanderungsland wie Deutschland braucht endlich ein modernes Einwanderungsrecht. Nur so können wir dem Fach- und Arbeitskräftemangel entgegenwirken und unseren Wohlstand sichern. Ich begrüße sehr, dass das Kabinett dafür heute die Weichen gestellt hat. Mit dem Gesetzentwurf zur Weiterentwicklung der Fachkräfteeinwanderung werden wir die Einwanderung von Fach- und Arbeitskräften aus Nicht-EU-Staaten ganz entscheidend erleichtern und ihnen wie auch den Arbeitgebern eine sichere Perspektive bieten. Dabei fokussieren wir uns nicht nur auf bereits vorhandene, anerkannte Qualifikationen, sondern erstmals auch verstärkt auf Berufserfahrung und das Potenzial, das die Menschen, die zu uns kommen wollen, mitbringen. Dies ist ein entscheidender Schritt für die Zukunft unseres Landes.“

Martin Rosemann, arbeits- und sozialpolitischer Sprecher:

„In Zeiten von Fach- und Arbeitskräftemangel ist es wichtig, dass wir neben den inländischen Potenzialen auch die ausländischen Potenziale nutzen. Das Fachkräfteeinwanderungsgesetz ist ein wichtiger Baustein dafür, Deutschland als Einwanderungsland attraktiver zu machen. Wir sorgen unter anderem mit dem Abbau bürokratischer Hürden und beschleunigten Visumsverfahren dafür, dass sich noch mehr qualifizierte Menschen als heute dafür entscheiden werden, nach Deutschland zu kommen. Auch als starker Wirtschaftsstandort mit hoher Lebensqualität konkurrieren wir mit anderen Staaten, deren Wirtschaft ebenfalls auf den Zuzug ausländischer Fach- und Arbeitskräfte angewiesen sind. Da braucht es klare, attraktive Regelungen und Perspektiven, die wir mit dem neuen Gesetz auf den Weg bringen werden.“",Mit dem heutigen Kabinettsbeschluss haben die geplanten Verbesserungen unseres Einwanderungsrechts endlich die erste Hürde genommen. Der von Innenministerin Nancy Faeser und Arbeitsminister Hubertus Heil vorgelegte Entwurf eines Gesetzes zur Weiterentwicklung der Fachkräfteeinwanderung wird nun zeitnah im Bundestag beraten. Der flankierenden Verordnung muss der Bundesrat zustimmen.,Sebastian Hartmann,", innenpolitischer Sprecher:",Martin Rosemann,", arbeits- und sozialpolitischer Sprecher:",NA,NA,NA,NA,29.03.2023,20. Wahlperiode,48,"Inneres, Arbeit und Soziales","Sebastian Hartmann, Dr. Martin Rosemann","Innenpolitik, Arbeit, Soziales",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/modernes-einwanderungsrecht-modernes-einwanderungsland
Wohnungsbauförderung richtiger Weg,"Bernhard Daldrup, wohnungspolitischer Sprecher:

Vor wenigen Wochen hat das Bauministerium ein neues Programm zur Förderung von Wohnungsbau aufgelegt. Anders als in der Vergangenheit setzt das Programm auf Zinszuschüsse, die das Bauen erleichtern. Wegen der rapide gestiegenen Bauzinsen ist dieses Vorgehen ein richtiger Weg. Die Koalition hat sich darauf verständigt, ausreichend Mittel zur Verfügung zu stellen und einen schnellen Förderstopp zu vermeiden.

„Auf Antrag fördert der Staat klimafreundlichen Neubau seit März mit Krediten in Höhe von bis zu 150.000 Euro zu deutlich vergünstigten Konditionen. Dafür stehen bei der Förderbank KfW in diesem Jahr bereits 750 Millionen Euro zu Verfügung. Damit kommen die Ampel-Parteien ihrem Auftrag aus dem Koalitionsvertrag nach, den Wohnungsneubau zu fördern.

Die starke Inanspruchnahme des Programms erfordert, dass die staatlichen Fördermittel sicher fließen. Angesichts der Lage am Wohnungsmarkt und der viel beschäftigten Branchen im Baubereich darf sich eine Situation wie im vergangenen Jahr, in der die Fördermittel schnell vergriffen waren, nicht wiederholen.

Es ist vorausschauend und entspricht der gemeinsamen Verantwortung, dass die Bauministerin bereits jetzt die Notwendigkeit zusätzlicher Finanzmittel betont.“","Bernhard Daldrup, wohnungspolitischer Sprecher:",Bernhard Daldrup,", wohnungspolitischer Sprecher:",NA,NA,NA,NA,NA,NA,28.03.2023,20. Wahlperiode,47,"Wohnen, Stadtentwicklung, Bauwesen und Kommunen",Bernhard Daldrup,"Mieten und Wohnen, Bauen und Stadtentwicklung",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/wohnungsbaufoerderung-richtiger-weg
Gute Arbeitsbedingungen sind Voraussetzung für erfolgreiche Wind-Industrie,"Bengt Bergt, zuständiger Berichterstatter:

Der gestrige Windgipfel muss der Auftakt sein für eine übergreifende Kraftanstrengung aller Akteure für mehr Windenergie an Land. Die SPD-Bundestagsfraktion unterstützt den Prozess. Nur mit guten Arbeitsbedingungen lassen sich Fachkräfte gewinnen und die Klimaziele erreichen. Der Bundeswirtschaftsminister muss mehr staatliche Unterstützung leisten.

„Wir haben in den vergangenen Monaten schon einiges erreicht, um den Ausbau der Windenergie an Land zu beschleunigen. Es hakt gleichzeitig zum Teil noch bei der Umsetzung, auch in den Amtsstuben.

Wir müssen nun an weiteren wichtigen Stellschrauben drehen, um möglichst schnell viele Windkraftanlagen ans Netz zu bringen. Eine gut ausgebaute Infrastruktur und möglichst einheitliche Genehmigungsverfahren bei Transporten sind dafür genauso wichtig wie gut funktionierende Lieferketten und starke regionale Wertschöpfung.

Neben den vom Bundeswirtschaftsministerium vorgestellten zwölf Handlungsfeldern müssen wir dringend das Ausschreibungsdesign für die finanzielle Förderung von Windkraftanlagen anpacken. Wertschöpfung in Deutschland und Europa, Umweltverträglichkeit und sichere Lieferketten sind Aspekte, die Einfluss auf die Bieterauswahl haben sollten – nicht ausschließlich der günstigste Preis. Nur so können wir die deutsche und europäische Industrie stärken und verhindern, dass weitere Unternehmen abwandern.

Die Energiewende kann Motor für gute Arbeit sein, wenn wir jetzt die richtigen Signale senden. Das wäre auch ein wichtiger Beitrag für die Akzeptanz der Windindustrie und der Klimawende vor Ort. Hier ist der Staat gefragt: Investitionen in Betriebsausgaben müssen staatlich abgesichert sein, damit die heimische Industrieproduktion wettbewerbsfähig bleibt. Die Amerikaner haben mit dem Inflation Reduction Act gezeigt, wie es einfach und pragmatisch geht. Jetzt müssen wir die europäische Antwort vorlegen.“","Bengt Bergt, zuständiger Berichterstatter:",Bengt Bergt,", zuständiger Berichterstatter:",NA,NA,NA,NA,NA,NA,23.03.2023,20. Wahlperiode,46,Klimaschutz und Energie,Bengt Bergt,"Klimaschutz, Energie",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/gute-arbeitsbedingungen-voraussetzung-erfolgreiche-wind-industrie
Agrarministerkonferenz muss Transformation der Landwirtschaft vorantreiben,"Susanne Mittag, ernährungspolitische Sprecherin:

Die Transformation der Landwirtschaft muss jetzt dringend vorangetrieben werden. Die SPD-Fraktion unterstützt den vorgeschlagenen Weg der Zukunftskommission Landwirtschaft und fordert zur heute startenden Agrarministerkonferenz Ergebnisse.

„Die GAP, der Green Deal (Farm-To-Fork-Strategie), der Umbau der Nutztierhaltung, die Reduzierung des Einsatzes von Pflanzenschutzmitteln und die nachhaltige Energieversorgung in der Landwirtschaft sind essenzielle Themen, die mit aller Kraft im Rahmen der Agrarministerkonferenz vorangetrieben werden müssen. Vergessen dürfen wir auch nicht das Thema Fischerei – gerade, weil die 17 Ministerinnen und Minister aus Bund und Ländern an der Küste tagen und es in diesem Agrar-Sektor viel zu tun gibt.

Die Fischerei an den Küsten von Nord- und Ostsee ist ein wichtiger Wirtschaftszweig, der gesunde Meere erfordert. Wir müssen deswegen bis zum Sommer mit der im Koalitionsvertrag verabredeten Zukunftskommission Fischerei starten, in der Fischereibetriebe, Umweltverbände und die Wissenschaft an einem Tisch sitzen. Wir müssen Wege aufzeigen, wie die Fischerei ökonomisch und ökologisch nachhaltig umzugestalten ist.

Gleichzeitig werden wir mit dem Tierhaltungskennzeichnungsgesetz mehr Tierwohl sicherstellen und ein ausreichendes Einkommen für Landwirtinnen und Landwirte ermöglichen. Für die SPD-Bundestagsfraktion ist wichtig, dass der Weidehaltung eine besondere Stellung zukommt. Sie ist die tiergerechteste Form der Haltung. Mit der neuen GAP wird die Weidehaltung von Mutterkühen, -schafen und -ziegen gefördert. Einzelne Bundesländer haben zusätzliche Programme für die Milchviehhaltung. Mit der Neuaufstellung der Nutztierhaltung durch das Tierhaltungskennzeichnungsgesetz werden wir deutschlandweit dafür sorgen, dass sich diese Haltungsform für Landwirtinnen und Landwirte lohnt.“","Susanne Mittag, ernährungspolitische Sprecherin:",Susanne Mittag,", ernährungspolitische Sprecherin:",NA,NA,NA,NA,NA,NA,22.03.2023,20. Wahlperiode,43,Ernährung und Landwirtschaft,Susanne Mittag,"Ernährung, Landwirtschaft, Tierschutz",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/agrarministerkonferenz-muss-transformation-landwirtschaft-vorantreiben
Mehr Sicherheit für Beschäftigte in der Wissenschaft,"Carolin Wagner, stellvertretende bildungspolitische Sprecherin:

Die Ampelkoalition hat sich auf Eckpunkte zur Novelle des Wissenschaftszeitvertragsgesetzes geeinigt. Das Ergebnis bringt viele notwendige Verbesserungen für die Beschäftigten in der Wissenschaft. Mehr als 80 Prozent des wissenschaftlichen Personals an den Hochschulen ist befristet beschäftigt. Die Vertragslaufzeiten liegen meist unter 20 Monaten und verschärfen die unsichere Beschäftigungssituation massiv.

„Die Eckpunkte für das Arbeitsrecht in der Wissenschaft weisen den klaren Weg für mehr Sicherheit für die Beschäftigten in der Wissenschaft. Verlässliche Karriereperspektiven werden unseren Wissenschaftsstandort stärken, indem die Wissenschaft für die besten Köpfe eine attraktive Option bietet.

Wir brechen die Tarifsperre auf und legen somit viele Regelungsbereiche in die Hände der Tarifparteien. In der Promotionsphase schaffen wir mit drei Jahren Mindestvertragslaufzeit ausreichend Sicherheit – so können sich Promovierende endlich auf ihre wissenschaftliche Arbeit konzentrieren, statt den Fristablauf im Nacken zu spüren. Durch einen Vorrang der Qualifizierungsbefristung vor der Drittmittelbefristung greift die familien- und behindertenpolitische Komponente für deutlich mehr Beschäftigte. Die Postdoc-Phase wird auf drei Jahre verkürzt, damit schaffen wir früher Klarheit in den Karriereperspektiven. Mit einer Mindestvertragslaufzeit von zwei Jahren ergeben sich hier ebenfalls bessere Arbeitsbedingungen.“","Carolin Wagner, stellvertretende bildungspolitische Sprecherin:","Carolin Wagner, ",stellvertretende bildungspolitische Sprecherin:,NA,NA,NA,NA,NA,NA,17.03.2023,20. Wahlperiode,42,Bildung und Forschung,Dr. Carolin Wagner,"Bildung, Forschung",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/mehr-sicherheit-beschaeftigte-wissenschaft
