headline,title,subtitle,date,meta,text,url
Statement von Detlef Müller,Müssen etwas tun,"  Die neue Debatte über ein europaweites Verbrenner-Aus ab 2035 ist nicht sinnvoll. Es brauche nun eine klare Entscheidung auf EU-Ebene, die das nicht infrage stelle, meint Detlef Müller.",01.03.2023,,"„Erneut eine Debatte über das europaweite Verbrenner-Aus ab 2035 zu führen ist nicht sinnvoll. Wir sind jetzt an einem Punkt, wo wir konkret im Verkehrssektor etwas tun müssen, um unsere Klimaschutzziele zu erreichen. Die Automobilindustrie hat die Zeichen der Zeit erkannt und befindet sich auf dem Pfad der Elektromobilität. Wir brauchen nun eine klare Entscheidung auf EU-Ebene, die ein Verbrenner-Aus nicht infrage stellt.

Mit E-Fuels erreichen wir wegen ihrer begrenzten Verfügbarkeit und der hohen Kosten nicht unsere Klimaziele im Verkehr. Dies ist eine Phantomdebatte an den Fakten vorbei, um den Verbrenner zu retten. E-Fuels sollten insbesondere im Luft- und Schiffsverkehr eingesetzt werden.“",https://www.spdfraktion.de/presse/statements/muessen-etwas-tun
Statement von Gabriela Heinrich,Feministische Außen- und Entwicklungspolitik ist überfällig,"  Die Bundesregierung hat die Leitlinien zur feministischen Außen- und Entwicklungspolitik vorgestellt. Gabriela Heinrich fordert, nun ins Handeln zu kommen.",01.03.2023,,"„Mit den Leitlinien sorgt die Bundesregierung dafür, die Belange von Frauen in der internationalen Politik stärker mitzudenken. Eine feministische Außen- und Entwicklungspolitik ist überfällig. Unser Ziel muss sein, Frauen in einer männlich geprägten Welt den Platz zu verschaffen, der ihnen zusteht. Dafür müssen wir ins Handeln kommen. Feminismus in der internationalen Politik darf kein theoretisches Konstrukt bleiben, sondern muss das Leben von Frauen weltweit konkret verbessern. Frauen machen die Hälfte der Menschheit aus und werden noch immer auf der ganzen Welt von patriarchalen Strukturen unterdrückt.

Deutschland engagiert sich seit Langem für eine feministische Außenpolitik und hat insbesondere im Rahmen der UN eine stärkere Beteiligung von Frauen in Friedensprozessen erwirkt. Die Leitlinien für feministische Außenpolitik schreiben dieses Engagement fort. 

Die Vorschläge zur feministischen Entwicklungspolitik sind ein sehr sinnvoller Ansatz. Die deutschen Entwicklungsprojekte müssen auf den Prüfstand, ob und wie sie die Belange von Frauen und Minderheiten einbeziehen. Die Verdopplung von Entwicklungsprojekten, die Frauen ins Zentrum stellen, ist ein großes und notwendiges Vorhaben. Das gilt beispielsweise für den Zugang von Frauen zu Bildung und zur Gesundheitsversorgung, bei sexuellen und reproduktiven Rechten und beim Aufbau einer nachhaltigen Landwirtschaft.“",https://www.spdfraktion.de/presse/statements/feministische-aussen-entwicklungspolitik-ueberfaellig
Statement von Matthias Miersch und Verena Hubertz,EU-Notfallverordnung und Raumordnung: Turbo für Planungs- und Genehmigungsverfahren,  Die Ampel-Koalition beschleunigt die Planungs- und Genehmigungsverfahren. Alle Kraft muss jetzt in die Erneuerbaren fließen.,01.03.2023,,"Matthias Miersch, stellvertretender Vorsitzender:

„Wir nutzen die EU-Notfallverordnung und beschleunigen den Ausbau unserer Netze und Erneuerbaren deutlich. Das neue Deutschland-Tempo, das wir bei den LNG-Terminals an den Tag gelegt haben, ist jetzt die Blaupause für die Energiewende. Um uns so schnell wie möglich unabhängig zu machen von fossilen Energieimporten, vereinfachen wir die Genehmigungs- und Planungsverfahren. Jetzt heißt es alle Kraft in die Erneuerbaren. Das ist der Fortschritt, den wir brauchen.“

 Verena Hubertz, stellvertretende Vorsitzende:

„Die Energiewende setzt massive Beschleunigung auf allen Ebenen voraus. Die Novelle des Raumordnungsgesetzes ist dafür ein richtiger Treiber. Wir verkürzen die Errichtung von Windkraftanlagen in besonders geeigneten Arealen mit sogenannten go-to-Gebieten. Durch mehr Digitalisierung und den Abbau von Redundanzen machen wir die Einbeziehung der Öffentlichkeit und die Einbindung der unterschiedlichen Interessen an den begrenzt vorhandenen Flächen effizienter. Das ist ein echter Meilenstein.“",https://www.spdfraktion.de/presse/statements/eu-notfallverordnung-raumordnung-turbo-planungs-genehmigungsverfahren
Statements von Leni Breymaier und Carmen Wegge,Brauchen eine neue Diskussion über den §218 StGB,"  Die Mitglieder der Kommission, die unter anderem Regelungen des Schwangerschaftsabbruchs außerhalb des Strafrechts prüfen soll, stehen fest. Es ist Zeit dafür, sagen Leni Breymaier und Carmen Wegge.",28.02.2023,,"Leni Breymaier, frauenpolitische Sprecherin:
„Frauen haben ein Recht auf Selbstbestimmung, auch auf reproduktive Selbstbestimmung. Dieses wollen wir stärken. Hierfür braucht es eine neue Diskussion über den § 218 StGB, der Schwangerschaftsabbrüche seit über 150 Jahren im Strafrecht regelt. Wir freuen uns, dass die Kommission zur reproduktiven Selbstbestimmung und Fortpflanzungsmedizin noch in diesem Quartal eingesetzt wird und auch Regulierungen von Schwangerschaftsabbrüchen außerhalb des Strafgesetzbuches prüfen wird. Wir haben diese Debatten in Deutschland über dreißig Jahre nicht öffentlich geführt. Es ist Zeit dafür.“

Carmen Wegge, stellvertretende rechtspolitische Sprecherin:
„Wir begrüßen es sehr, dass sich jetzt ein plurales, fachkundiges Gremium diesem wichtigen Thema widmen wird. Diese Arbeit der Kommission werden wir eng begleiten. Aus unserer Sicht sollte die Regulierung von Schwangerschaftsabbrüchen nicht im Strafgesetzbuch geregelt werden. Der § 218 StGB belastet und stigmatisiert betroffene Frauen zusätzlich, sowie Ärztinnen und Ärzte.“",https://www.spdfraktion.de/presse/statements/brauchen-neue-diskussion-ss218-stgb
Statement von Nina Scheer,Die Energiepreisbremsen treten in Kraft,"  Dass wir uns von russischer Energie unabhängig gemacht haben, war der einzige und richtige Weg. Dies hat uns viel Kraft gekostet. Mit den am 1. März in Kraft tretenden Preisbremsen für Gas, Strom und Fernwärme nehmen wir Millionen Haushalten die Sorge vor explodieren Energiekosten.",28.02.2023,,"„Ab heute gelten die Energiepreisbremsen. Ein Grundbedarf von Energie halten wir bezahlbar. Dafür stehen bis zu 200 Milliarden Euro zur Verfügung. Weil wir es in einem großen Kraftakt geschafft haben, unseren Gasverbrauch zu senken und unsere Energieversorgung breiter aufzustellen, müssen wir für diesen Winter keine Gasmangellage mehr befürchten. Wir haben es binnen kurzer Zeit geschafft, uns unabhängig von russischer Energie zu machen. Das war ein gewaltiger Kraftakt. Und natürlich müssen wir weiterhin sparsam mit Energie haushalten. Der Lohn für unsere Anstrengungen sind derzeit sinkende Energiepreise. Das zeigt, dass wir auf dem richtigen Weg sind. Damit wir auch gut über den nächsten Winter kommen, dürfen wir beim Energiesparen nicht nachlassen. Und vor allem müssen wir beim maximalen Ausbau der Erneuerbaren und Netze weiter vorankommen. Dabei hilft die Einigung zur EU-Notfallverordnung, mit der die gesetzlichen Rahmenbedingungen für einen begrenzten Zeitraum von 1,5 Jahren erleichtert werden.

Wir haben insgesamt drei Entlastungspakete in einem Umfang von knapp 100 Milliarden Euro geschnürt, das Kindergeld erhöht, die Mehrwertsteuer bei Gas und Fernwärme gesenkt und führen das 9-Euro-Ticket jetzt mit dem Deutschland-Ticket fort. Nun folgen die Energiepreisbremsen.“",https://www.spdfraktion.de/presse/statements/energiepreisbremsen-treten-kraft
Statement von Verena Hubertz,Müssen ins Tun kommen,"  Die Vorschläge zur Reform des Gebäudeenergiegesetzes sehen vor, dass neue Heizungen ab 2024 dem Standard von mindestens 65 Prozent erneuerbarer Energien genügen sollen. Verena Hubertz fordert, dass die Wärmewende sozialverträglich und technisch machbar sein muss.",28.02.2023,,"„Die Vorschläge befinden sich im Entwurfsstadium und sind eine erste Diskussionsgrundlage. Wir haben uns klare und ambitionierte Ziele für den Klimaschutz im Gebäudebereich gesetzt. Damit wir die erreichen und die Abhängigkeit von fossilen Energieträgern reduzieren können, müssen wir ins Tun kommen. Klar sollte sein, dass die Forderung nach 65 Prozent erneuerbaren Energien für neue Heizungen gilt, nicht für bereits verbaute.

Wir nehmen die Aussagen der Verbände und Fachexperten sehr ernst und werden diese im parlamentarischen Verfahren einbinden. In jedem Fall behalten wir die finanzielle Leistungsfähigkeit, die sozialen Auswirkungen und die Machbarkeit im Auge. Wir dürfen die Klimakrise nicht gegen die Wohnungskrise ausspielen. Die Wärmewende muss sozialverträglich und technisch machbar sein.""",https://www.spdfraktion.de/presse/statements/muessen-ins-tun-kommen
Statement von Dagmar Schmidt und Heike Baehrens,Equal Care Day – für gerechte Aufteilung und Honorierung von Care Arbeit,"  Der Equal Care Day erinnert daran, dass Kinderbetreuung, Pflege, Haushalt noch immer hauptsächlich von Frauen geleistet wird – und dies zu wenig honoriert wird. Denn diese systemrelevante Carearbeit ist dabei oft schlecht oder gar nicht bezahlt. Die SPD-Bundestagsfraktion setzt sich für eine faire Verteilung bezahlter und unbezahlter Sorgearbeit ein und will Familien, insbesondere Frauen bei der Organisation des Familienalltags unterstützen.",28.02.2023,,"Dagmar Schmidt, stellvertretende Fraktionsvorsitzende:

„Kinderbetreuung, Pflege, Haushalt - ohne diese wichtige Arbeit funktioniert keine Gesellschaft. Sie wird aber immer noch zumeist von Frauen erledigt. Dazu tragen Frauen oft die Verantwortung für die Organisation des Alltags - seien es die Geburtstagsgeschenke für Kindergeburtstage, die Arzttermine, der Schulbedarf, die Fahrgemeinschaft zum Fußballspiel und vieles mehr.

Männern, von dieser Arbeit und Verantwortung meist unbelastet, fällt es daher leichter, mehr bezahlte Arbeitszeit und mehr Verantwortung auf der Karriereleiter im Beruf zu übernehmen. Zu gleichen Chancen im Beruf gehört daher auch eine gerechte Aufteilung von Arbeit und Verantwortung.

Denn Care-Arbeit ist ohne jede Frage systemrelevant. Trotzdem wird sie schlecht und in den allermeisten Fällen gar nicht bezahlt. Wir kämpfen für eine faire Verteilung bezahlter und unbezahlter Sorgearbeit und wollen Familien, insbesondere Frauen bei der Organisation des Familienalltags unterstützen, damit mehr Frauen vollerwerbstätig sein und ihre Karriereziele erreichen können.“

Heike Baehrens, gesundheitspolitische Sprecherin:

„Millionen Menschen in Deutschland, vielfach Frauen, pflegen ihre Angehörigen zuhause und gehen dabei nicht selten bis ans Ende ihrer Kräfte. Dieser Tag erinnert zurecht daran, wie wichtig die Arbeit der pflegenden Angehörigen ist – sie sind eine wertvolle Stütze unserer Gesellschaft. Deswegen ist es besonders wichtig, die Pflegenden gezielt zu entlasten: Pflegegeld und Pflegesachleistungen müssen erhöht werden, um die in jüngster Zeit enorm gestiegenen Kosten abzufedern. Und pflegende Angehörige brauchen mehr Flexibilität, die Leistungen der Pflegeversicherung miteinander zu kombinieren. Das erleichtert ihren Alltag und das wollen wir schnell auf den Weg bringen. Es ist wichtig, dass die, die zuhause pflegen, wissen und spüren, dass ihr tagtäglicher Einsatz gewürdigt wird.“",https://www.spdfraktion.de/presse/statements/equal-care-day-gerechte-aufteilung-honorierung-care-arbeit
Podcast,"Können Waffen Frieden schaffen, Michael?","  Michael Roth über ein Jahr Krieg in der Ukraine, seine neuen Überzeugungen - und den Umgang mit Fehlern und Schwächen",28.02.2023,,"Die SPD-Fraktion gibt es mittlerweile auch zum Hören: Im Oktober 2020 haben wir unseren eigenen Podcast gestartet! Die „Lage der Fraktion“ ist die neue sozialdemokratische Plauderrunde zur Bundespolitik: Was haben wir vor? Was bringen wir voran? Und wo hakt es vielleicht auch noch? (Versprochen: Wenn irgendwo Interna ausgequatscht werden, dann hier!)

Folge 35: Können Waffen Frieden schaffen, Michael?

Michael Roth, Vorsitzender des Auswärtigen Ausschusses, erklärt, wie der Angriff auf die Ukraine seine Überzeugungen verändert hat, welche Rollen Diplomatie und militärische Unterstützung aktuell spielen, und wie es ihm geholfen hat, Schwächen und Fehler einzugestehen.

Wo findet man den Podcast?

Fast überall, wo es Podcasts gibt: Spotify, iTunes, Google Podcasts, Deezer oder hier im RSS-Feed. Am besten gleich abonnieren - und keine Folge verpassen.

Hier eine Auswahl an Zitaten: 

Michael Roth…

… zu Waffenlieferungen:

„Unsere rote Linie ist das Völkerrecht. Und das Völkerrecht regelt glasklar, dass ein Land, das von einem Aggressor wie Russland angriffen wurde, das Recht hat, sich zu verteidigen. Und wir haben das Recht, diesem Land beizustehen – auch militärisch. Und das Völkerrecht sagt nicht, bei dieser Waffengattung ist Schluss. Am Ende ist für uns nur eines klar: Wir wollen nicht selber zur Kriegspartei werden, die NATO darf nicht zur Kriegspartei werden.“ [ab Minute 19:24]

„Ohne Waffen hat die Ukraine verloren und ohne Waffen wird der Imperialismus und Kolonialismus von Putin obsiegen. Und das kann niemand, der der Demokratie und der Freiheit verpflichtet ist, ernsthaft wollen.“ [ab Minute 24:26]

... zur Friedensperspektive:

„Dass die Ukraine als souveränes, demokratisches, freies Land diesen Krieg übersteht und eine Chance hat, Mitglied der Europäischen Union zu werden. Das heißt für mich: Die Ukraine muss diesen Krieg gewinnen.“ [ab Minute 26:40]

„Man kann Putin nur zu Verhandlungen zwingen, wenn er weiß: Die anderen sind so stark, dass sich für ihn eine Fortsetzung dieses Kriegs nicht auszahlt. Also gehören Dialogfähigkeit und Diplomatie einerseits sowie Wehrhaftigkeit, Abschreckung und militärische Stärke andererseits zusammen. Das sind zwei Seiten derselben Medaille.“ [ab Minute 28:17]

... zu Fehlern in der Russlandpolitik:

„Die Hoffnung, dass immer engere ökonomische Verflechtung am Ende auch mehr Freiheit, mehr Demokratie und Menschenrechte bringen, ist leider gescheitert.“ [ab Minute 35:10]

„Für mich ist das Eingeständnis, Fehler gemacht zu haben, kein Zeichen von Schwäche, sondern ein Zeichen von Stärke. Und es eröffnet uns auch die Chance, glaubwürdiger mit dieser Zeitenwende umzugehen.“

[ab Minute 37:01]

„Ich bin manchmal auch schier fassungslos, warum es bis auf einzelne Stimmen in der Union nach wie vor diesen Gestus gibt: Wir haben doch alles richtig gemacht, wir sind die Guten und die blöden Sozis haben uns da nicht gelassen‘.“[ab Minute 37:01]

„Angela Merkel war eine stramme Konservative. Sie hat diese Politik mit Russland von Nord-Stream 2 bis zum Minsker Abkommen sehr offensiv vertreten und für richtig gehalten.“ [ab Minute 37:01]",https://www.spdfraktion.de/themen/koennen-waffen-frieden-schaffen-michael
Statement von Matthias Miersch,Keine Werbung für ungesunde Kinder-Süßigkeiten,"  Die SPD-Fraktion im Bundestag fordert seit langem ein Verbot von Werbung für ungesunde Lebensmittel, die sich an Kinder richten. Die Bundesregierung hat jetzt einen Gesetzesentwurf vorgelegt.",27.02.2023,,"""Die Gesundheit unserer Kinder und Jugendlichen ist ein extrem wichtiges Gut. Darum wollen wir gezielte, an Kinder gerichtete Werbung für ungesunde Lebensmittel verbieten. Wir wollen Kinder besser vor Werbung schützen, damit ungesunde Lebensweisen gar nicht erst normalisiert werden. Kinder und Jugendliche sind besonders empfänglich für Werbung, die etwa über Social Media, Apps und Fernsehen gezielt an unter 14-Jährige ausgespielt wird. Damit soll jetzt Schluss sein.
Es ist sehr gut, dass die Bundesregierung eine gesetzliche Regelung vorschlägt. Die SPD-Fraktion fordert ein Werbeverbot schon lange. Unterstützung für unsere langjährige Forderung erfahren wir durch Kinderärzte, Wissenschaft, Verbänden - und wohl am wichtigsten: vor allem von Eltern und Großeltern.""",https://www.spdfraktion.de/presse/statements/keine-werbung-ungesunde-kinder-suessigkeiten
Statement von Gabriela Heinrich,Russland darf nicht gewinnen,  Vor einem Jahr hat Olaf Scholz mit seiner Rede zur Zeitenwende tiefgreifende Umwälzungen in der deutschen Außen- und Innenpolitik in Gang gesetzt. Seither steht die Politik immer wieder vor schwerwiegenden neuen Entscheidungen.,27.02.2023,,"„Die vor einem Jahr in Gang gesetzte Zeitenwende ist eine tiefgreifende Umwälzung unserer Außen- und Innenpolitik. Der verbrecherische russische Angriff gegen die Ukraine zerstört die europäische Friedensordnung und stellt die Politik vor schwerwiegende Entscheidungen. Russland darf diesen Angriffskrieg nicht gewinnen. Damit dies nicht geschieht, haben die Bundesregierung, die EU, Nato und Verbündete noch nie dagewesene Sanktionen gegen Russland auf den Weg gebracht und unterstützen die Ukraine von humanitärer Hilfe bis zu schweren Waffen mit ungebrochener Solidarität.

Demokratien müssen sich selbst verteidigen können. Die Nato ist gemeinsam mit einer einsatzbereiten und gut ausgerüsteten Bundeswehr Grundvoraussetzung für unsere Freiheit und für die Verteidigung unserer Werte. Im Gleichklang muss die EU in Sicherheitsfragen lernen auf eigenen Füßen zu stehen. Mit der vom Bundeskanzler vorgeschlagenen Initiative zur europäischen Luftabwehr und den gemeinsamen Rüstungsprojekten gehen wir konkrete Schritte in diese Richtung.

Es ist an der Zeit, verstärkt um den globalen Süden als Verbündeten für die Zukunft einer globalen Friedensordnung zu werben. Neue Partnerschaften sind notwendig für nachhaltige Energiegewinnung und Klimaschutz, sozialen Fortschritt und fairen Handel. Das ist nicht nur Wirtschaft- und Klimapolitik, sondern aktive Diplomatie.“",https://www.spdfraktion.de/presse/statements/russland-darf-nicht-gewinnen
Statement von Nils Schmid,Keine wirklich neuen Vorschläge,"  Die chinesische Regierung hat einen 12-Punkte-Plan für eine Waffenruhe in der Ukraine vorgestellt. Der im Vorschlag skizzierte Aufruf zu Dialog und Verhandlungen führe in die Irre, sagt der außenpolitischer Sprecher Nils Schmid.",24.02.2023,,"„Der Vorstoß Chinas enthält keine wirklich neuen Vorschläge. Der Aufruf zu Dialog und Verhandlungen führt in die Irre, solange es Russlands Ziel bleibt, die Ukraine zu unterwerfen und ihre vollständige Kapitulation zu fordern. Verhandlungen mit dem russischen Aggressor machen erst dann Sinn, wenn er anerkennt, seine Ziele nicht mit militärischen Mitteln durchzusetzen. Außerdem muss die Ukraine in der Lage sein, sich der Aggression zu widersetzen und auf Augenhöhe zu verhandeln. Wenn es etwas Positives über den chinesischen Vorschlag zu sagen gibt, dann, dass China vor dem Einsatz und der Androhung von Atomwaffen warnt.“",https://www.spdfraktion.de/presse/statements/keine-wirklich-neuen-vorschlaege
Statement von Johannes Fechner,Kein Geld für Verfassungsfeinde,"  Nach dem heutigen Urteil des Bundesverfassungsgerichtes werden wir nun zügig ein Stiftungsgesetz im Deutschen Bundestag erarbeiten und verabschieden. Hauptaugenmerkt in den Beratungen für ein Stiftungsgesetz wird das Ziel sein, dass Verfassungsfeinde keine Steuergelder bekommen.",22.02.2023,,"„Kein Geld für Verfassungsfeinde - nach diesem Grundsatz werden wir nun schnell ein Stiftungsgesetz im Deutschen Bundestag erarbeiten und verabschieden. Das Bundesverfassungsgericht fordert ein Stiftungsgesetz. Wir hatten uns im Koalitionsvertrag ohnehin vorgenommen, die Stiftungsfinanzierung rechtlich präziserer abzusichern. Wir wollten aber nicht mit einem Gesetzentwurf vorpreschen, sondern das Urteil des Bundesverfassungsgerichtes abwarten. Das Bundesverfassungsgericht gibt dem Gesetzgeber einen Spielraum bei der konkreten Ausgestaltung eines Stiftungsgesetzes. Diesen werden wir nutzen. Wenn Zweifel etwa auf Basis von Verfassungsschutzberichten bestehen, dass eine Stiftung nicht zu unserer freiheitlich-demokratischen Grundordnung steht, dann darf sie keine Steuermittel bekommen. Wir werden nun zügig in die Beratungen für ein Stiftungsgesetz einsteigen mit dem Ziel, dass Verfassungsfeinde keine Steuergelder bekommen.“",https://www.spdfraktion.de/presse/statements/kein-geld-verfassungsfeinde
Statement von Dirk Wiese,Nur gemeinsam werden wir die Herausforderungen bei Versorgung und Unterbringung meistern,"  Seit Beginn des Krieges steht der Bund eng an der Seite von Ländern und Kommunen. Das wird auch so bleiben, sagt Fraktionsvize Dirk Wiese nach dem Flüchtlingsgipfel im Bundesinnenministerium.",16.02.2023,,"„Ich begrüße sehr, dass nach dem ersten Treffen im Oktober 2022 heute auf Initiative von Bundesinnenministerin Nancy Faeser ein zweiter Gipfel stattgefunden hat, um alle Akteure an einen Tisch zu bringen – Bund, Länder und Kommunen. Denn nur gemeinsam werden wir die Herausforderungen bei der Versorgung und Unterbringung der über eine Million Ukrainerinnen und Ukrainer, die vor den russischen Angriffen geflohen sind, in unserem Land meistern.

Seit Beginn des Krieges steht der Bund eng an der Seite von Ländern und Kommunen und hat diese im letzten Jahr mit 3,5 Milliarden Euro finanziell unterstützt. Für das Jahr 2023 wurden bereits 2,75 Milliarden Euro zugesagt. Wichtig ist, dass die Länder die finanziellen Hilfen eins zu eins an die Kommunen weitergeben. Hier hat es in der Vergangenheit an der einen oder anderen Stelle gehakt. Auch weitere Hilfen wie die Bereitstellung von bundeseigenen Liegenschaften haben konkret vor Ort geholfen.

Ich bin sehr froh, dass die Bundesregierung heute zusätzliche Unterstützung zugesagt hat. Weitere Bundesgrundstücke, auf denen schnell serielle Bauten zur Unterbringung Geflüchteter errichtet werden können, werden die angespannte Lage vor Ort verbessern.“",https://www.spdfraktion.de/presse/statements/nur-gemeinsam-wir-herausforderungen-versorgung-unterbringung-meistern
Statement von Dirk Wiese,Änderung des Disziplinarrechts um Verfassungsfeinde schneller aus dem öffentlichen Dienst zu entfernen,"  Mit dem heutigen Kabinettsbeschluss zur Beschleunigung von Disziplinarverfahren sind die Weichen gestellt, Verfahren gegen Extremisten und Verfassungsfeinde deutlich zu verkürzen. Es ist schwer zu ertragen, solche Verfahren so lange dauern, sagt Dirk Wiese.",15.02.2023,,"„Wir dulden keine Verfassungsfeinde im öffentlichen Dienst. Das sind wir auch der überwältigenden Mehrheit der fast 200.000 Bundesbeamten schuldig, für die Integrität und Rechtstreue selbstverständlich sind. Denn die extremistischen und verfassungsfeindlichen Vorfälle, die vereinzelt auftreten, schädigen das Vertrauen in den öffentlichen Dienst. Bislang zog sich die Entfernung von Extremisten aus dem Beamtenverhältnis oftmals über mehrere Jahre. Es ist schwer zu ertragen, wenn Personen, die unsere freiheitliche demokratische Grundordnung offen ablehnen, noch jahrelang Beamtenprivilegien erhalten.

Deswegen ist es gut und zielführend, dass das Bundeskabinett heute den Entwurf zur Beschleunigung von Disziplinarverfahren in der Bundesverwaltung beschlossen hat, um die langwierigen Verfahren zu verkürzen. Künftig wird es für die Behörden möglich sein, Maßnahmen wie die Entfernung aus dem Beamtenverhältnis durch Disziplinarverfügung auszusprechen. Die rechtsstaatlichen Grundsätze bleiben dabei gewahrt.

Außerdem werden die Konsequenzen härter: Beamte, die wegen Volksverhetzung zu einer Freiheitsstrafe ab sechs Monaten verurteilt wurden, müssen künftig mit dem Verlust ihrer Beamtenrechte rechnen. Ich bin Bundesinnenministerin Faeser sehr dankbar über ihre klaren Kurs gegen Extremisten.“",https://www.spdfraktion.de/presse/statements/aenderung-disziplinarrechts-um-verfassungsfeinde-schneller-oeffentlichen-dienst
Statement von Oliver Kaczmarek,Forschung und Innovation brauchen verlässliche Rahmenbedingungen,"  Am Mittwoch wird das neue Gutachten der Expertenkommission Forschung und Innovation (EFI) an Bundeskanzler Olaf Scholz übergeben. Oliver Kaczmarek, der bildungs- und forschungspolitische Sprecher der SPD-Fraktion, nennt die nächsten Schritte.",15.02.2023,,"„Forschung und Innovation brauchen verlässliche Rahmenbedingungen. Nur so können wir die großen Herausforderungen bewältigen - von Klimawandel über Gesundheitsforschung bis hin zu gesellschaftlicher Resilienz.

Wir haben die großen Wissenschaftspakte bereits verstetigt und dynamisiert. Die Neuausrichtung der Forschungsförderung des Bundes mit der Zukunftsstrategie Forschung und Innovation zur Bündelung der Forschungsaktivitäten aller Ressorts sowie die Gründung der Deutschen Agentur für Transfer und Innovation sind jetzt die nächsten Schritte.

Mit der Allianz für Transformation hat Bundeskanzler Olaf Scholz zudem gezeigt, dass die Steigerung von Innovationskraft und -geschwindigkeit Priorität für die gesamte Bundesregierung hat. Die EFI-Kommission hat heute mit ihren Hinweisen unter anderem zu Regeln für Datenökonomie und Karrierewegen in der Forschung die nächsten Eckpunkte für die weiteren Debatten gesetzt.“",https://www.spdfraktion.de/presse/statements/forschung-innovation-brauchen-verlaessliche-rahmenbedingungen
Statement von Gabriela Heinrich,Kein zusätzliches Öl ins Feuer gießen,"  Die israelische Regierung hat die Legalisierung von Siedlungen im Westjordanland und eine umstrittene Justizreform angekündigt. Dies sei besorgniserregend, meint Fraktions-Vizin Gabriela Heinrich.",15.02.2023,,"„Die Maßnahmen zur Legalisierung von Siedlungen im Westjordanland zeigen eine besorgniserregende Polarisierung und das einseitige Schaffen von Fakten. In die ohnehin bestehenden Spannungen zwischen Israelis und Palästinensern darf kein zusätzliches Öl gegossen werden. Das Vorgehen der israelischen Regierung steht einer Zwei-Staaten-Lösung im Weg.

Israel muss ein demokratischer Rechtsstaat bleiben. Die massiven Demonstrationen und die großflächigen Streiks sind ein deutliches Zeichen, dass die Bürgerinnen und Bürger Israels einen Abbau des Rechtsstaates nicht hinnehmen. Die israelische Regierung hat bei ihrem Amtsantritt angekündigt, die Regierung aller in Israel lebender Menschen sein zu wollen. Dieses Versprechen muss sie jetzt einlösen, auch im Rahmen der angekündigten Justizreform.

Deutschland und Israel verbindet weiterhin eine tiefe Freundschaft. Das Existenzrecht Israels gehört zur deutschen Staatsräson. Die gegenseitige Wertschätzung gebietet es auch Differenzen offen anzusprechen, wie aktuell in Siedlungsfragen und bei Bedrohungen für den Rechtsstaat.“",https://www.spdfraktion.de/presse/statements/kein-zusaetzliches-oel-ins-feuer-giessen
Infrastruktur,Schnellere Gerichtsverfahren beschleunigen wichtige Bauvorhaben,"  Künftig erhalten Verfahren, für die bereits in erster Instanz die Oberverwaltungsgerichte bzw. Verwaltungsgerichtshöfe oder das Bundesverwaltungsgericht zuständig sind, ein Vorrang- und Beschleunigungsgebot.",10.02.2023,,"Die Ampel hat es sich zur Kernaufgabe gemacht, den Bau neuer Infrastruktur – wie beispielsweise Windkraftanlagen, Stromnetze, Schienen oder Straßen – massiv zu beschleunigen. Neben der Straffung und Digitalisierung von Planungsverfahren muss darum auch die Dauer von Gerichtsverfahren bei großen Infrastrukturvorhaben weiter reduziert werden.

Die Bundesregierung hat deshalb ein Gesetz zur Beschleunigung von verwaltungsgerichtlichen Verfahren im Infrastrukturbereich beschlossen. Künftig erhalten Verfahren, für die bereits in erster Instanz die Oberverwaltungsgerichte bzw. Verwaltungsgerichtshöfe oder das Bundesverwaltungsgericht zuständig sind, ein Vorrang- und Beschleunigungsgebot gegenüber anderen Verfahren. Erklärungen und Beweismittel, die Kläger nicht innerhalb der gerichtlichen Frist vorbringen, sind für den weiteren Prozess künftig grundsätzlich ausgeschlossen („prozessuale Präklusion“). Das soll dafür sorgen, zügig den Prozessstoff zu bündeln.

In den parlamentarischen Beratungen haben sich die Koalitionsfraktionen überdies darauf geeinigt, dass Oberverwaltungs- und Bundesverwaltungsgerichte künftig einfache Entscheidungen in kleinerer Besetzung treffen dürfen. Damit wird ein Wunsch des Bundesverwaltungsgerichts umgesetzt. Personal wird so effektiver eingesetzt, Aktenberge können schneller abgearbeitet werden.

Überdies wird in eng umschriebenen Grenzen den Vollzug rechtswidriger Behördenentscheidungen bis zum Urteil in der Hauptsache („Unbeachtlichkeitsregel“) ermöglicht. Behebbare Fehler, die auch in absehbarer Zeit behoben sein werden, sollen im vorläufigen Rechtsschutz nicht zum Baustopp führen. Behörden werden künftig bei elektronischer Aktenführung verpflichtet, die Akten als digital durchsuchbare Dokumente vorzulegen. Wichtig ist, dass im nächsten Schritt die elektronische Aktenführung bei den Behörden ausgeweitet wird.",https://www.spdfraktion.de/themen/schnellere-gerichtsverfahren-beschleunigen-wichtige-bauvorhaben
