title,fulltext,prompt,authors_1,authors_2,authors_3,authors_4,authors_5,authors_6,authors_7,authors_8,authors_9,meta_1,meta_2,meta_3,meta_4,meta_5,meta_6,meta_7,meta_8,url
Tag des Ehrenamts – Engagement so wertvoll wie niemals zuvor,"Sönke Rix, familienpolitischer Sprecher;Svenja Stadler, engagementpolitische Sprecherin:

Seit 1985 ist der 5. Dezember der Internationale Tag des Ehrenamtes. Die SPD-Bundestagsfraktion dankt den mehr als 30 Millionen ehrenamtlich engagierten Menschen in Deutschland. Gerade die aktuelle Krisensituation zeigt, wie wichtig ihre Zeit, Leidenschaft und Kreativität für unsere Gesellschaft sind.

„Die Pandemie wirkt sich auch beim Ehrenamt aus. Viele Aufgaben können nicht mehr auf normalen Weg erledigt werden. Mit Kreativität und Einfallsreichtum werden jedoch schnell neue Wege gefunden, um Engagement möglich zu machen und zu helfen. Die SPD-Bundestagsfraktion will diese Strukturen auch in Zukunft erhalten und möglichst ausbauen.

Dieses Jahr haben wir die Deutsche Stiftung für Engagement und Ehrenamt mit dem Ziel gegründet, vor allem in ländlichen Regionen Engagement nachhaltig zu stärken. Zudem setzen wir mit dem Haushalt 2021 ein wichtiges Signal zur Förderung von Freiwilligenarbeit und Engagement. Viele Projekte werden auf dem Niveau vom Vorjahr finanziert und manche sogar mit mehr Geld unterstützt.

Bürgerschaftliches Engagement ist eine bedeutsame Stütze für eine solidarische und lebendige Zivilgesellschaft sowie für unsere Demokratie. Die Corona-Krise hat einmal mehr verdeutlicht, wie wichtig Solidarität und gegenseitige Unterstützung sind. Ehrenamtliches Engagement ist wertvoller als je zuvor.“","Sönke Rix, familienpolitischer Sprecher;Svenja Stadler, engagementpolitische Sprecherin:",Sönke Rix,", familienpolitischer Sprecher;Svenja Stadler, engagementpolitische Sprecherin:",NA,NA,NA,NA,NA,NA,NA,04.12.2020,19. Wahlperiode,405,"Familie, Senioren, Frauen und Jugend","Sönke Rix, Svenja Stadler",Familien,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/tag-ehrenamts-engagement-so-wertvoll-niemals-zuvor
Gleichstellungspolitischer Erfolg für die deutsche EU-Ratspräsidentschaft ,"Sönke Rix, frauenpolitischer Sprecher;Leni Breymaier, zuständige Berichterstatterin:

Die EU-Ministerinnen und Minister für Arbeit, Soziales und Gleichstellung haben heute die Ratsschlussfolgerungen zur gleichberechtigten Teilhabe von Frauen und Männern am Arbeitsmarkt einstimmig beschlossen. Konsequent wird so die EU-Gleichstellungsstrategie 2020–2025 weiterverfolgt, die die Kommission mit dem Titel „Union der Geschlechtergleichstellung“ vergangenen März vorgelegt hat.

„Weltweit verdienen Frauen im Durchschnitt deutlich weniger als Männer. In Deutschland liegt die geschlechtsspezifische Entgeltlücke bei 20 Prozent, EU-weit bei 15 Prozent. Da Frauen deutlich seltener ein existenzsicherndes Einkommen erzielen, liegt die Rentenlücke in Deutschland sogar bei 50 Prozent. Das muss sich ändern.

Bundesgleichstellungsministerin Giffey setzt zum Ende der deutschen EU-Ratspräsidentschaft ein deutliches Zeichen für mehr Geschlechtergerechtigkeit. Im Rat wurden die Schlussfolgerungen zur Schließung des Gender Pay Gaps einstimmig beschlossen. Hierzu gehören Maßnahmen, die zu einer gerechten Verteilung unbezahlter Sorgearbeit und bezahlter Erwerbsarbeit und zu einer verbesserten Vereinbarkeit von Familie und Beruf führen sollen.

Die Corona-Krise macht die ungleiche Verteilung und den Rückstand von Frauen bei Arbeitszeiten, Entgelt und der Verteilung unbezahlter Arbeit besonders deutlich. Klar ist, dass der Kampf um gleiche und gleichwertige Bezahlung weitergehen muss. Die SPD-Fraktion im Bundestag begrüßt sehr, dass sich die EU heute entschieden gegen ein internationales Rollback in der Gleichstellung positioniert hat. Mit den Ratsschlussfolgerungen kann der EU-Ministerrat seinen Beitrag zur Überprüfung der Fortschritte der Pekinger Aktionsplattform der Vereinten Nationen leisten. Das ist ein großer Erfolg der deutschen EU-Ratspräsidentschaft, in der das Thema Gleichstellung der Geschlechter ein Schwerpunkt ist.

Auch auf Bundesebene setzt sich die SPD-Fraktion im Bundestag entschieden für die Schließung der Entgeltlücke zwischen Frauen und Männern ein: So fordern wir unter anderem ein Verbandsklagerecht im Rahmen des Entgelttransparenzgesetzes. Im Zuge einer Aufwertung sozialer Berufe fordern wir vor allem in der Altenpflege eine verbindliche Tarifbindung. Mit der Einführung einer Vorstandsquote bei börsennotierten und paritätisch mitbestimmten Unternehmen tragen wir ebenfalls zur Schließung des Gender Pay Gaps bei.

Wir fordern: Gleicher Lohn für gleiche oder gleichwertige Arbeit muss selbstverständlich sein.“","Sönke Rix, frauenpolitischer Sprecher;Leni Breymaier, zuständige Berichterstatterin:",Sönke Rix,", frauenpolitischer Sprecher;Leni Breymaier, zuständige Berichterstatterin:",NA,NA,NA,NA,NA,NA,NA,03.12.2020,19. Wahlperiode,404,"Familie, Senioren, Frauen und Jugend","Sönke Rix, Leni Breymaier",Frauen und Gleichstellung,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/gleichstellungspolitischer-erfolg-deutsche-eu-ratspraesidentschaft
Menschen mit Behinderungen gerade in der Krise stärker unterstützen ,"Angelika Glöckner, Beauftragte für die Belange von Menschen mit Behinderungen:

Zum morgigen internationalen Tag der Menschen mit Behinderungen fordert die SPD-Bundestagsfraktion einen europäischen Behindertenbeauftragten zu besseren Koordinierung auf EU-Ebene. Damit würden betroffene Menschen nicht nur während der Corona-Pandemie besser geschützt und repräsentiert.

„Die Corona-Pandemie macht vor niemandem halt. Besonders hart trifft sie aber die Schwächsten in der Gesellschaft. Obwohl wir hier in Deutschland im Vergleich zu anderen europäischen Mitgliedsstaaten sehr gut dastehen, gilt es, Menschen mit Behinderungen gerade jetzt besonders zu schützen. Vor allem dürfen sie nicht von der Außenwelt isoliert werden oder in Armut abrutschen. Noch immer haben Menschen mit Behinderungen ein erhöhtes Armutsrisiko. Mit der Pandemie ist diese Gefahr noch weiter angestiegen.

Deutschland hat in der Krise viel für beeinträchtigte Menschen getan, wie etwa die Verbesserung der Ausrüstung von Wohn- und Pflegeeinrichtungen und eine finanzielle Entlastung von Werkstätten für Menschen mit Behinderungen. Aber wir müssen uns weiter anstrengen, um Gleichberechtigung zu erreichen. Das gilt besonders in der Barrierefreiheit. Deshalb werden wir die europäische Barrierefreiheitsrichtlinie (EAA) schnellstmöglich in nationales Recht umwandeln.

Um diese Herausforderungen besser angehen zu können, braucht es zusätzlich ein koordinierendes Element auf europäischer Ebene. Die SPD-Bundestagsfraktion fordert deshalb die Einrichtung eines EU-Beauftragten oder einer Beauftragten für Menschen mit Behinderungen. Damit kann sichergestellt werden, dass die Belange von Menschen mit Behinderungen auf allen Ebenen vertreten werden. Das hilft den Menschen in Deutschland und der gesamten Europäischen Union.“","Angelika Glöckner, Beauftragte für die Belange von Menschen mit Behinderungen:",Angelika Glöckner,", Beauftragte für die Belange von Menschen mit Behinderungen:",NA,NA,NA,NA,NA,NA,NA,02.12.2020,19. Wahlperiode,403,Angelika Glöckner,"Menschenrechte, Behindertenpolitik",PDF,NA,NA,https://www.spdfraktion.de/presse/pressemitteilungen/menschen-behinderungen-gerade-krise-staerker-unterstuetzen
Der Kampf gegen Doping ist noch lange nicht gewonnen ,"Mahmut Özdemir, sportpolitischer Sprecher;Florian Post, zuständiger Berichterstatter:

Das deutsche Anti-Doping-Gesetz vom 10. Dezember 2015 dient der Bekämpfung des Einsatzes von Dopingmitteln und Dopingmethoden im Sport. Heute hat das Bundeskabinett den Bericht zur Evaluierung des Gesetzes zur Kenntnis genommen. Die SPD-Fraktion im Bundestag unterstützt die Forderung der Expertinnen und Experten, die sich deutlich für die Schaffung einer Kronzeugenregelung ausgesprochen haben.

„Mit dem Gesetz sollen Chancengleichheit, Fairness und Gesundheit für die Athleten gesichert und die Integrität des Sports gefördert werden. Nach Einschätzung der Expertinnen und Experten bedarf es weitgehender Schutzmechanismen für Hinweisgeber, die viel riskieren, wenn sie Informationen auf systemische oder systematische Doping-Strukturen offenbaren. Besonders für Athletinnen und Athleten wäre die Erweiterung einer so genannten ‚Kronzeugenregelung‘ im Anti-Doping-Gesetz wichtig, um Informationen preiszugeben.

Von einer Erweiterung des Gesetzes würde ein starkes Signal an die Bundesländer ausgehen. Wir möchten sie ermutigen, weitere Schwerpunktstaatsanwaltschaften Doping zu schaffen, um den Kampf gegen Doping und für einen sauberen Sport zu intensivieren. Schwerpunktstaatsanwaltschaften Doping gibt es bereits in Bayern, Baden-Württemberg und Rheinland-Pfalz. Sie überwachen den Handel, den Konsum und die Verabreichung von Doping-Substanzen im Breiten- und Spitzensport gleichermaßen und klagen gegebenenfalls an.“","Mahmut Özdemir, sportpolitischer Sprecher;Florian Post, zuständiger Berichterstatter:",Mahmut Özdemir,", sportpolitischer Sprecher;Florian Post, zuständiger Berichterstatter:",NA,NA,NA,NA,NA,NA,NA,02.12.2020,19. Wahlperiode,402,Sport,"Mahmut Oezdemir (Duisburg), Florian Post",Sport,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/kampf-gegen-doping-noch-lange-nicht-gewonnen
Schutz indigener Völker: Ratifizierung der ILO 169 im Kabinett beschlossen,"Frank Schwabe, menschenrechtspolitischer Sprecher;Sascha Raabe, entwicklungspolitischer Sprecher:

Die Union hat ihre unverständliche Blockadehaltung aufgegeben und die Ratifizierung des 1991 in Kraft getretenen Übereinkommens Nr. 169 der Internationalen Arbeitsorganisation der Vereinten Nationen über eingeborene und in Stämmen lebenden Völkern (ILO 169) ermöglicht. Handelt es sich doch um die bislang einzige internationale Norm, die die wirtschaftlichen, sozialen und kulturellen Rechte von indigenen Völkern rechtsverbindlich schützt.

„Endlich macht die Union den Weg frei für die seit 30 Jahren ausstehende Ratifizierung des Übereinkommens zum Schutz indigener Völker. Dies war dringend erforderlich, da die existentielle Bedrohung indigener Völker stetig zunimmt. Großprojekte, wie Staudämme oder Bergbau, führen oft zu Menschenrechtsverletzungen und schwerwiegenden Umweltkatastrophen. Nicht nur der Lebensraum der Ureinwohner, auch die Tier- und Pflanzenwelt werden zunehmend zerstört.

Angesichts von geschätzten 370 Millionen Indigenen aus 5.000 verschiedenen Kulturen in 90 Staaten begrüßen wir die weltweite Stärkung der Rechte indigener Gruppen und die mit der Ratifizierung einhergehenden Signalwirkung. Die Ratifizierung stärkt unsere Glaubwürdigkeit bei unserer Unterstützung für den Schutz indigener Völker und ist auch mit Blick auf die globalen Herausforderungen, wie Klimawandel, Verlust der biologischen Vielfalt und dem Raubbau an der Natur längst überfällig.“","Frank Schwabe, menschenrechtspolitischer Sprecher;Sascha Raabe, entwicklungspolitischer Sprecher:",Frank Schwabe,", menschenrechtspolitischer Sprecher;Sascha Raabe, entwicklungspolitischer Sprecher:",NA,NA,NA,NA,NA,NA,NA,02.12.2020,19. Wahlperiode,401,"Menschenrechte und humanitäre Hilfe, Wirtschaftliche Zusammenarbeit und Entwicklung","Frank Schwabe, Dr. Sascha Raabe","Kultur, Menschenrechte",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/schutz-indigener-voelker-ratifizierung-ilo-169-kabinett-beschlossen
Für eine stärkere Kinder- und Jugendhilfe  aus einer Hand,"Sönke Rix, kinder- und jugendpolitischer Sprecher;Ulrike Bahr, zuständige Berichterstatterin:

Das Bundeskabinett hat heute den Entwurf für ein Kinder- und Jugendstärkungsgesetz beschlossen. Die SPD-Bundestagsfraktion begrüßt vor allem die Vorschläge für besseren Schutz von Kindern und Jugendlichen, mehr Beteiligung und Hilfen aus einer Hand. Damit machen wir die Kinder- und Jugendhilfe besser: inklusiv, partnerschaftlich und auf Augenhöhe mit Eltern, Kindern und Jugendlichen.

„Benachteilte Kinder und Jugendliche und ihre Familien werden in Zukunft von einer besseren Kooperation der Kinder- und Jugendhilfe mit dem Gesundheitswesen, den Familiengerichten und anderen wichtigen Akteuren profitieren. Damit Kinder und Jugendliche in Einrichtungen besser geschützt sind, werden die Anforderungen an die Erteilung einer Betriebserlaubnis erhöht.

Die Rechte von Kindern, Jugendlichen und ihren Eltern sollen unter anderen durch erweiterte Beteiligungsmöglichkeiten gestärkt werden. Junge Menschen erhalten einen uneingeschränkten Anspruch auf Beratung. Es werden unabhängige Ombudsstellen eingerichtet, die bei Konflikten beraten, unterstützen und vermitteln. Selbstvertretungen von Eltern, Kindern oder Jugendlichen haben künftig einen Anspruch auf Einbeziehung und Unterstützung.

Für alle Kinder und Jugendliche, ob mit oder ohne Behinderung, und ihre Familien soll die Kinder- und Jugendhilfe künftig die zuständige Anlaufstelle sein. Dafür stellen wir bereits jetzt die Weichen.

Die SPD Fraktion im Bundestag begrüßt, dass die Höhe der Kostenbeiträge für Kinder und Jugendliche in Pflegefamilien und in Einrichtungen der Erziehungshilfe deutlich reduziert wird.

In einem ausführlichen Beteiligungsprozess im Jahr 2019 haben Fachleute aus Wissenschaft und Praxis, Bund, Ländern und Kommunen die Grundlage für den jetzt vorgelegten Gesetzentwurf gelegt. Darauf können wir in den parlamentarischen Beratungen gut aufbauen: Für eine bessere Kinder- und Jugendhilfe.“","Sönke Rix, kinder- und jugendpolitischer Sprecher;Ulrike Bahr, zuständige Berichterstatterin:",Sönke Rix,", kinder- und jugendpolitischer Sprecher;Ulrike Bahr, zuständige Berichterstatterin:",NA,NA,NA,NA,NA,NA,NA,02.12.2020,19. Wahlperiode,400,"Familie, Senioren, Frauen und Jugend","Sönke Rix, Ulrike Bahr","Kinder, Jugend",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/staerkere-kinder-jugendhilfe-hand
Welt-Aids-Tag: Kampf gegen AIDS ist noch lange nicht gewonnen,"Sabine Dittmar, gesundheitspolitische Sprecherin:

Zum Weltaidstag am 1. Dezember erinnert die SPD-Bundestagsfraktion, auch in Zeiten von Corona den Kampf gegen AIDS nicht zu vergessen und zu vernachlässigen. Das HI-Virus ist immer noch eine weltweite Bedrohung.

„Der Kampf gegen AIDS ist noch lange nicht gewonnen. Laut Daten des Robert-Koch-Instituts haben sich 2019 in Deutschland rund 2600 Menschen mit dem HI-Virus infiziert – eine alarmierende Zahl. Im europäischen Vergleich ist das zwar eine sehr niedrige Zahl. Die Tendenz ist zudem abnehmend, aber wir dürfen im Bemühen die Zahl noch weiter zu senken, nicht lockerlassen. Auch und gerade in Corona-Zeiten. Maßnahmen gegen Covid-19 sind eminent wichtig, aber wir dürfen andere Erkrankungen dabei nicht aus dem Blick verlieren.

Während die Entwicklung in Deutschland stabil ist, bereiten die weltweiten Zahlen Grund zur Sorge. Die Zahl der Neu-Infektionen vor allem in Ost-Europa und Zentralasien ist in den vergangenen Jahren wieder deutlich angestiegen. Auch im südlichen Afrika gibt es noch immer erschreckend hohe Infektionszahlen. Weltweit haben sich 2019 mehr als 1,7 Millionen Menschen neu mit dem Virus angesteckt. Knapp 700.000 Betroffene sind an den Folgen von AIDS gestorben.

Bei allen Bemühungen bleibt ein weiteres großes Problem: In vielen Ländern haben die Menschen leider zu oft keinen Zugang zu effizienten Medikamenten. Ein Drittel der Betroffenen insgesamt und fast die Hälfte der Kinder unter 14 Jahren können daher nicht ausreichend versorgt werden. Tendenz eher steigend. In vielen Ländern werden zudem durch Corona die Medikamente, mit denen HIV behandelt werden kann, knapp. In Zukunft muss wieder mehr Zeit und Geld in Prävention und Aufklärung investiert werden. Nur so kann ein weiterer Anstieg der Ansteckungszahlen verhindert werden.“","Sabine Dittmar, gesundheitspolitische Sprecherin:",Sabine Dittmar,", gesundheitspolitische Sprecherin:",NA,NA,NA,NA,NA,NA,NA,01.12.2020,19. Wahlperiode,399,Gesundheit,Sabine Dittmar,Gesundheit,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/welt-aids-tag-kampf-gegen-aids-noch-lange-nicht-gewonnen
Menschenrechte  in Deutschland: DIMR-Bericht legt Finger in die Wunde,"Frank Schwabe, menschenrechtspolitischer Sprecher:

Das Deutsche Institut für Menschenrechte (DIMR) hat heute seinen jährlichen Bericht zur Entwicklung der Menschenrechtssituation in Deutschland 2019/2020 vorgelegt. Der Bericht konzentriert sich auf zwei, aus menschenrechtlicher Sicht, wichtige Themen: die Ausgrenzung und Benachteiligung von Behinderten bei der Berufsausbildung und eine nicht hinnehmbare Abschiebepraxis trotz Erkrankung der Abzuschiebenden.

„Wie jedes Jahr legt das Deutsche Institut für Menschenrechte in seinem Bericht an den Bundestag den Finger in die Wunde mangelnder Menschenrechtsstandards in Deutschland. Das ist gut so.

Zurecht fordert das Institut, dass behinderten Jugendlichen der Weg in ein reguläres Ausbildungsverhältnis geebnet werden muss. Dazu bedarf es besserer Beratung im Vorfeld, flexiblerer Ausbildungsgänge und barrierefreier Arbeits- und Ausbildungsstätten.

Zudem unterstützt die SPD-Fraktion im Bundestag die Forderung des DIMR, keine erkrankten Asylbewerberinnen und Asylbewerber abzuschieben. Es hat sich gezeigt, dass die Regelungen im Aufenthaltsgesetz, nach denen eine die Abschiebung beeinträchtigende Erkrankung seitens der Antragstellenden durch eine qualifizierte ärztliche Bescheinigung glaubhaft gemacht werden muss, praxisfremd sind. Die so geregelte Darlegungslast überfordert Menschen, die sich in einer extrem hilflosen Situation befinden. Die prüfende Behörde muss daher ihrer Sachaufklärungspflicht nachkommen und bei entsprechenden Anzeichen zum Schutz der Antragstellenden tätig werden. Die Länder sind dringend aufgefordert, Vorgaben zur menschenrechtskonformen Ausgestaltung der Abschiebung zu machen. Des Weiteren ist eine unabhängige Abschiebungsbeobachtung erforderlich.

Die SPD-Fraktion im Bundestag dankt dem Deutschen Institut für Menschenrechte für die steten neuen Impulse. Zurecht genießt das Institut für seine Arbeit international höchste Anerkennung.“","Frank Schwabe, menschenrechtspolitischer Sprecher:",Frank Schwabe,", menschenrechtspolitischer Sprecher:",NA,NA,NA,NA,NA,NA,NA,01.12.2020,19. Wahlperiode,398,Menschenrechte und humanitäre Hilfe,Frank Schwabe,"Arbeit, Menschenrechte, Flüchtlingspolitik, Jugend, Arbeit",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/menschenrechte-deutschland-dimr-bericht-legt-finger-wunde
Bulgarien darf Nordmazedonien  den EU-Beitritt nicht verbauen,"Christian Petry, europapolitischer Sprecher:

Die bulgarische Regierung verhindert wegen historischer Streitigkeiten weiter den Start der EU-Beitrittsverhandlungen mit Nordmazedonien. Dabei erfüllt das Land alle Kriterien. Die SPD-Bundestagsfraktion fordert Ministerpräsident Bojko Borrisow auf, seine Blockade zu beenden.

„Die EU-Botschafter bekräftigten auf ihrem heutigen Treffen abermals die Hoffnung, sobald wie möglich die erste Beitrittskonferenz mit Nordmazedonien ausrichten zu können. Das Land erfüllt alle Kriterien für den Beginn der Verhandlungen. Doch nun sperrt sich Nordmazedoniens Nachbarland Bulgarien, auf den letzten Metern gegen die erste, für Dezember geplante Beitrittskonferenz.

Die bulgarische Regierung verlangt für ihre Zustimmung zur Aufnahme von EU-Beitrittsverhandlungen, dass Nordmazedonien erklärt, die mazedonische Sprache sei ein bulgarischer Dialekt und die mazedonische nationale Identität bulgarischen Ursprungs. Dieser Versuch, Geschichtspolitik mit der Brechstange zu betreiben, ist ein ungehöriger Vorgang. Streitigkeiten über historische Personen und Ereignisse zu klären, ist alleine Aufgabe der Forschung. Die bulgarische Regierung muss aufhören, Nordmazedonien die Perspektive auf eine EU-Mitgliedschaft zu verbauen.“","Christian Petry, europapolitischer Sprecher:",Christian Petry,", europapolitischer Sprecher:",NA,NA,NA,NA,NA,NA,NA,30.11.2020,19. Wahlperiode,397,Angelegenheiten der Europäischen Union,Christian Petry,Europa,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/bulgarien-darf-nordmazedonien-eu-beitritt-nicht-verbauen
25 Jahre Barcelona-Prozess: Mittelmeer-Partnerschaft vertiefen,"Nezahat Baradari, zuständige Berichterstatterin:

Heute vor 25 Jahren wurde mit der Unterzeichnung der Erklärung von Barcelona der Grundstein für eine enge wirtschaftliche und politische Zusammenarbeit der EU mit zwölf Mittelmeerländern gelegt. Im Kampf gegen Terrorismus und irreguläre Migration verfolgt die Europäische Union im Mittelmeerraum heute aber vor allem sicherheitspolitische Interessen. Das ist kurzsichtig. Die SPD-Fraktion im Bundestag fordert, dass die EU einen umfassenderen Ansatz wählt und die Idee des Barcelona-Prozesses wieder aufgreift.

„Ziel des Barcelona-Prozesses war eine engere politische Zusammenarbeit in Wirtschafts- und Finanzfragen im Mittelmeerraum, ein sicherheitspolitischer Dialog sowie Kooperationen im sozialen und kulturellen Bereich. Auf diese Weise sollte ein Raum des Friedens, der Stabilität und des gemeinsamen Wohlstands entstehen. Der Mittelmeerraum ist heute jedoch geprägt von territorialen Konflikten, ausbleibenden wirtschaftlichen Reformen und begrenzten demokratischen Freiheiten.

Wir dürfen diese Region aber nicht nur einseitig als Konfliktherd wahrnehmen, sondern darüber hinaus als europäische Nachbarschaft mit viel Potenzial, mit ganz heterogenen Voraussetzungen und Vorstellungen zur Zusammenarbeit mit der EU. Die EU muss das 25-jährige Jubiläum zum Anlass nehmen, den wirtschaftlichen, politischen, sozialen und ökologischen Aspekten der Zusammenarbeit wieder mehr Gewicht zu verleihen. Nur dann kann sie helfen, den Menschen in der Region eine lebenswerte Perspektive zu geben. Dabei sollte die EU den Kontakt zu den Regierungen weitersuchen, aber auch zur Zivilgesellschaft. Denn um glaubwürdig zu bleiben, muss die EU die Förderung von Demokratie, Rechtsstaatlichkeit und Menschenrechten zur Maßgabe ihres Handelns machen.“","Nezahat Baradari, zuständige Berichterstatterin:",Nezahat Baradari,", zuständige Berichterstatterin:",NA,NA,NA,NA,NA,NA,NA,27.11.2020,19. Wahlperiode,396,Angelegenheiten der Europäischen Union,Nezahat Baradari,Europa,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/25-jahre-barcelona-prozess-mittelmeer-partnerschaft-vertiefen
"Ezidentum: Konferenz zu Religion, Integration und Rolle der Frau","Aydan Özoğuz, stellvertretende Sprecherin;Kirsten Lühmann, Mitglied im Fraktionsvorstand:

Heute diskutiert die Frauenkommission des Zentralrats der Êzîden im Rahmen der Konferenz „SPD-Bundestagsfraktion trifft Ezidinnen: Ein Online-Diskurs über gesellschaftliche Herausforderungen“. Ziel ist, die Wahrnehmung des Ezidentums stärker in die öffentliche Wahrnehmung zu rücken.

„Die heutige Konferenz soll die Wahrnehmung der Politik und Gesellschaft stärker auf die 200.000 in Deutschland lebenden Ezidinnen rücken. Thematisch beschäftigen sich die Referentinnen Zemfira Dlovani und Anna Miroyan vom ZÊD mit den Herausforderungen beim Zusammenleben in Deutschland und speziell der Rolle der Frau. Gerade ezidische Frauen waren häufig Opfer schwerster Gewalt, die bis heute in den militärischen Konflikten im Nahen Osten gezielt als Waffe eingesetzt wird. So wie im August 2014 im Irak, als durch die IS-Terrormiliz über 7.000 Frauen und Kinder verschleppt wurden. Mehr als 5.000 Ezidinnen wurden getötet, 3.000 Entführungsopfer werden noch vermisst, Hunderttausende mussten fliehen.

In Deutschland fanden viele der traumatisierten Menschen Zuflucht und eine neue Heimat. Die mehrheitlich in NRW und Niedersachsen lebenden Ezidinnen haben, zum Beispiel. in Celle, in vielen Städten Gemeinden, Vereine und auch den ‚Zentralrat der Êzîden in Deutschland‘ gegründet. Die SPD-Bundestagsfraktionfordert mehr Unterstützung für die Opfer sexualisierter Gewalt.

Die Konferenz dient dazu, zu diskutieren, wie ezidische Frauen stärker als eigenständige Akteurinnen wahrgenommen werden und wie wir gemeinsam ihre Teilhabe an unserer Gesellschaft verbessern können.“","Aydan Özoğuz, stellvertretende Sprecherin;Kirsten Lühmann, Mitglied im Fraktionsvorstand:",Aydan Özoğuz,", stellvertretende Sprecherin;Kirsten Lühmann, Mitglied im Fraktionsvorstand:",NA,NA,NA,NA,NA,NA,NA,27.11.2020,19. Wahlperiode,395,Migration und Integration,"Aydan Oezoguz, Kirsten Lühmann",Integration,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/ezidentum-konferenz-religion-integration-rolle-frau
Feinschliff für das Elterngeld,"Sönke Rix, familienpolitischer Sprecher;Stefan Schwartze, zuständiger Berichterstatter:

Der Deutsche Bundestag hat heute weitere Verbesserungen im Bundeselterngeld- und Elternzeitgesetz in erster Lesung beraten. Damit werden Elterngeld, ElterngeldPlus und Partnerschaftsbonus flexibler und einfacher. Die SPD-Fraktion im Bundestag freut sich auf die weiteren parlamentarischen Beratungen.

„Junge Eltern sollen sich ihre Familien- und Arbeitszeit noch flexibler untereinander aufteilen können. Dazu planen wir, den Stundenkorridor beim Partnerschaftsbonus von derzeit 25 bis 30 auf 24 bis 32 Stunden auszudehnen. Außerdem wollen wir den Partnerschaftsbonus flexibilisieren.

Wir wissen, dass Familien mit zu früh geborgen Kindern vor besonderen Herausforderungen stehen. Darum sollen sie künftig einen zusätzlichen Monat Elterngeld erhalten.

Die SPD-Fraktion im Bundestag will Eltern zusätzlich unterstützen, wenn sie vor besonderen Herausforderungen stehen – auch beim Elterngeld. Damit Eltern mehr Zeit haben, sich um ihre Kinder zu kümmern und gleichzeitig das Familieneinkommen gesichert bleibt. Und damit eine früh eingeübte partnerschaftliche Aufteilung von Familien- und Erwerbsarbeit leichter zum Lebensmodell werden kann.

Die SPD-Bundestagsfraktion freut sich auf die parlamentarischen Beratungen zum Gesetzentwurf der Bundesregierung. Unser Ziel ist es, das sozialdemokratische Erfolgsmodell Elterngeld mit einem weiteren Feinschliff noch besser zu machen.“","Sönke Rix, familienpolitischer Sprecher;Stefan Schwartze, zuständiger Berichterstatter:",Sönke Rix,", familienpolitischer Sprecher;Stefan Schwartze, zuständiger Berichterstatter:",NA,NA,NA,NA,NA,NA,NA,27.11.2020,19. Wahlperiode,394,"Familie, Senioren, Frauen und Jugend","Sönke Rix, Stefan Schwartze",Familien,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/feinschliff-elterngeld
