title,date,author,type,fulltext,url
Ampel muss Aggression Aserbaidschans verurteilen,13. September 2022,Sevim Dagdelen,Pressemitteilung,"„Die Bundesregierung muss umgehend die schweren militärischen Angriffe Aserbaidschans auf das Nachbarland Armenien mit Dutzenden Toten in aller Schärfe verurteilen. Das autokratische Alijew-Regime darf von der Ampel und der EU keine Carte Blanche bekommen für seine Aggression im Windschatten des Ukraine-Krieges zum Landgewinn in Armenien“, erklärt Sevim Dagdelen, Obfrau der Fraktion DIE LINKE im Auswärtigen Ausschuss. Dagdelen weiter:„Das Schweigen der Bundesregierung zum Bruch des Waffenstillstands im Kaukasus ist skandalös und zeugt ein weiteres Mal von der Doppelmoral der Ampel. Der Beschuss militärischer und ziviler Ziele durch die aserbaidschanische Armee mit Artillerie und Kampfdrohnen ist ein unmittelbarer Angriff auf die territoriale Integrität und Souveränität Armeniens. Es rächt sich bitter, dass der Autokrat Alijew gerade erst zum Energiepartner der EU verklärt wurde, um unabhängig von fossilen Brennstoffen aus Russland zu werden. Die Bundesregierung muss dringend auf Einhaltung der von Russland vermittelten Waffenruhe drängen.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/ampel-muss-aggression-aserbaidschans-verurteilen/
Deutsch-Sprachnachweis beim Familiennachzug abschaffen,13. September 2022,Gökay Akbulut,Pressemitteilung,"„Wir teilen die Forderung, den Deutsch-Sprachnachweis beim Familiennachzug generell abzuschaffen und nicht – wie von der Bundesregierung geplant – nur für Fachkräfte. Der Familiennachzug muss insgesamt vereinfacht und beschleunigt werden“, erklärt Gökay Akbulut, migrations- und familienpolitische Sprecherin der Fraktion DIE LINKE, zum heutigen Aufruf von Verbänden und zivilgesellschaftlichen Organisationen zum bestehenden Sprachnachweis beim Familiennachzug. Akbulut weiter:„DIE LINKE hatte vor der Sommerpause einen Gesetzentwurf hierzu vorgelegt, damit Deutschkenntnisse nicht bereits vor der Einreise nach Deutschland nachgewiesen werden müssen (BT-Drs. 20/1850). Durch unsere parlamentarischen Anfragen konnten wir in Erfahrung bringen, dass jährlich mehr als 10.000 Familienzusammenführungen an dem Spracherfordernis scheitern. Das ist nicht hinnehmbar.Für viele Ehepartnerinnen und -partner ist der Sprachnachweis aufgrund finanzieller oder persönlicher Umstände eine zu große Hürde. Diese Regelung ist nach meiner Auffassung mit dem Menschenrecht auf Familienleben unvereinbar. Ohnehin lässt sich Deutsch in Deutschland viel leichter und schneller erlernen als im Ausland.Ich habe daher kein Verständnis dafür, dass die Ampelkoalition auf diese schikanöse Regelung nur beim Familiennachzug zu Fachkräften verzichten will, anstatt sie ganz abzuschaffen, wie es auch im Koalitionsvertrag vereinbart war. Diese Ungleichbehandlung beim Ehegattennachzug ist ein Schlag ins Gesicht vieler Familien, die wegen des Spracherfordernisses zwangsweise getrennt leben müssen. Familienleben ist ein Menschenrecht und kein Privileg, das gewährt werden kann, um den Zuzug von Fachkräften anzukurbeln.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/deutsch-sprachnachweis-beim-familiennachzug-abschaffen/
Regierung kann Rezession nicht aufhalten,08. September 2022,Christian Leye,Pressemitteilung,"„Die besorgniserregenden Prognosen des Kieler IfW reihen sich ein in die der Bundesbank, der Industrie- und Handelskammer sowie die zahlreicher Ökonominnen und Ökonomen: Sie alle zeichnen für die kommenden Monate und Jahre ein düsteres Bild für die deutsche Wirtschaft, insbesondere für die Kaufkraft und die Ersparnisse deutscher Haushalte und den Fortbestand und die Existenz kleiner und mittelständischer Unternehmen. Ihnen steht das Wasser jetzt schon bis zum Hals. Sollten sie untergehen, werden abertausende Arbeitsplätze betroffen sein. Die jüngsten von der Regierung angekündigten Maßnahmen zeigen wieder einmal, dass ihr der Ernst der Lage nicht bewusst zu sein scheint“, erklärt Christian Leye, wirtschaftspolitischer Sprecher der Fraktion DIE LINKE, anlässlich der Herbstprognose des Kiel Instituts für Weltwirtschaft (IfW). Leye weiter:„Diese Maßnahmen werden die steigende Inflation und den Weg in die Rezession nicht aufhalten können: So wurde etwa die Strompreisbremse in den Berechnungen des IfW schon einkalkuliert. Statt mit der Gasumlage die Rekordpreise weiter in die Höhe zu treiben, muss die Regierung die Gaspreise deckeln, Übergewinne nicht nur am Strommarkt, sondern auch bei Öl und Gas und weiteren Krisengewinnlern abschöpfen und Haushalte und Unternehmen viel stärker entlasten. Aber für eine ernsthafte Lösung der Probleme muss die Sanktionspolitik, die uns geradeaus weiter in die Rezession führt, ökonomisch diskutiert werden dürfen, ohne dass die Regierung laut 'Verrat' ruft.""",https://www.linksfraktion.de/presse/pressemitteilungen/detail/regierung-kann-rezession-nicht-aufhalten/
Effektive Maßnahmen gegen steigende Energiepreise,08. September 2022,Alexander Ulrich,Pressemitteilung,"„Es ist gut, dass die EU-Energieminister zusammenkommen, um über Maßnahmen gegen die horrenden Energiepreise zu beraten. Wir brauchen schnelle und konkrete Ergebnisse; die Bundesregierung muss antreiben, statt blockieren“, sagt Alexander Ulrich, industriepolitischer Sprecher der Fraktion DIE LINKE, mit Blick auf die morgige Tagung der EU-Energieminister. Ulrich weiter:„Entscheidend ist, dass in Privathaushalten sowohl bei Gas wie auch bei Strom zumindest ein angemessener Basisbedarf gegen die Inflation abgesichert wird und dass kleine und mittlere Unternehmen genug Unterstützung bekommen, um die Krise zu überstehen. In ihrem sogenannten Entlastungspaket bleibt die Bundesregierung an den entscheidenden Stellen schwammig. Andere EU-Staaten sind deutlich weiter, jetzt dürfen europäische Antworten auf die Krise nicht an Deutschland scheitern.Gleiches gilt für die Besteuerung von Übergewinnen, durch die die Energiesubventionen finanziert werden sollen. Dass es funktioniert, zeigen genügend internationale Beispiele. Lindner und Habeck dürfen die üppigen Profite der Energiekonzerne nicht länger auf Kosten der Bevölkerung absichern. Kriegsbedingte Extra-Einnahmen müssen abgeschöpft werden, um in diesen Zeiten angemessen in den sozialen Zusammenhalt investieren zu können. Die Gasumlage muss weg, Strom- und Gassperren müssen verboten werden.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/effektive-massnahmen-gegen-steigende-energiepreise/
"Gaspreisdeckel ist sozial gerecht und liefert Anreize, weniger Gas zu verbrauchen",01. September 2022,Susanne Ferschl,Pressemitteilung,"„Die Studie des DIW rät von einer Preisdeckelung des Grundbedarfs von Gas ab, da ein solcher keinen Anreiz zum Energiesparen liefern würde. Diese Argumentation ist schwer nachzuvollziehen und grenzt an Häme. Wenn tatsächlich nur der grundlegende Bedarf an Gas gedeckelt wird, ist es in diesem Verbrauchsbereich wohl schwierig, noch Energie sparen zu können“, kritisiert Susanne Ferschl, stellvertretende Vorsitzende der Fraktion DIE LINKE, die Studie des DIW, welche einen Gaspreisdeckel für ein ungeeignetes Instrument gegen die steigenden Heiz- und Energiekosten hält. Ferschl weiter:„Menschen mit niedrigen Einkommen mussten bereits vor dem unglaublichen Anstieg des Gaspreises jeden Euro zweimal umdrehen. Selbst Menschen mit mittleren Einkommen fragen sich, wie sie die kommenden Heizkostenabrechnungen bezahlen sollen.DIE LINKE bleibt dabei: Deutschland braucht einen Gaspreisdeckel. Das ist sozial gerecht und am ehesten dafür geeignet, Menschen mit niedrigen und mittleren Einkommen zu entlasten.Darüber hinaus ist bei einem Gaspreisdeckel sehr wohl eine Anreizwirkung vorhanden, weniger Gas zu verbrauchen. Nur setzt dieser bei den wirtschaftlich starken Schultern an. Denn wer bei größerer Wohnfläche mehr Energie verbraucht, muss somit auch mehr für die über dem Grundbedarf liegende Inanspruchnahme zahlen. Dadurch wird ökonomisch und ökologisch genau an der richtigen Stelle zum Sparen angeregt.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/gaspreisdeckel-ist-sozial-gerecht-und-liefert-anreize-weniger-gas-zu-verbrauchen/
Pflegevollversicherung längst überfällig,01. September 2022,Ates Gürpinar,Pressemitteilung,"„Die Politik duckt sich in der Pflegefinanzierung wieder mal weg. Es darf nicht sein, dass nötige Verbesserungen weiterhin Menschen mit Pflegebedarf in Rechnung gestellt werden“, kommentiert Ates Gürpinar, Sprecher für Krankenhaus- und Pflegepolitik der Fraktion DIE LINKE, die zu erwartenden Anstiege der Einrichtungseinheitlichen Eigenanteile in Pflegeheimen und für Pflegedienste. Er fährt fort:„Lohnsteigerungen in der Langzeitpflege sind lange überfällig, und es ist eine Schande, dass die unterste Lohngrenze gesetzlich fixiert werden muss. Die Löhne in der Langzeitpflege entsprechen auch nach der ab 1. September geltenden Tariftreue weder dem Niveau der Ausbildung noch den hohen körperlichen und psychosozialen Anforderungen des Berufs - auch wenn ich natürlich froh bin, dass sich endlich etwas tut.Die Auseinandersetzung um höhere Löhne für Beschäftigte oder bezahlbare Kosten im Pflegeheim und für Pflegedienste darf von der verantwortlichen Politik nicht ans Pflegebett delegiert werden. Im jetzigen System bedeuten höhere Löhne und bessere Arbeitsbedingungen für die einen zwangsläufig Mehrkosten für die anderen. Wir brauchen kurzfristig mindestens einen Sockel-Spitze-Tausch in der Pflegeversicherung, so dass die Eigenanteile planbar gleich bleiben und Mehrkosten die Sozialversicherung trägt. Langfristig ist eine Reform der Pflegefinanzierung nötig, damit alle pflegebedingten Kosten endlich von der Pflegeversicherung übernommen werden. Mit einer Anhebung der Beitragsbemessungsgrenze und einem Beitrag auf Dividenden, Mieteinahmen und Renditen ist dies leicht möglich.""",https://www.linksfraktion.de/presse/pressemitteilungen/detail/pflegevollversicherung-laengst-ueberfaellig/
Ausgrenzung stoppen und Austausch fördern,01. September 2022,Zaklin Nastic,Pressemitteilung,"„Die Entscheidung, die Visaerleichterungen für Bürgerinnen und Bürger der Russischen Föderation auszusetzen, ist extrem kurzsichtig und unterstreicht erneut, dass Annalena Baerbock grundsätzlich ungeeignet für jedwede diplomatische Herausforderung ist. Die Außenministerin lässt sich von riskanten Manövern einiger osteuropäischer EU-Mitglieder durch die Manege treiben“, kommentiert Zaklin Nastic, Sprecherin für Menschenrechtspolitik der Fraktion DIE LINKE, die gestrige Entscheidung des EU-Außenministertreffens in Prag.Andrej Hunko, europapolitischer Sprecher der Fraktion, ergänzt: „Aus den Antworten auf eine aktuelle Kleine Anfrage wissen wir bereits, dass das Auswärtige Amt die Unterstützung fast aller zivilgesellschaftlichen Initiativen zum Austausch zwischen den Gesellschaften Russlands und Deutschlands eingestellt hat. Das ist Ausgrenzung und keine Diplomatie.“Die beiden Abgeordneten abschließend: „Unabhängig von politischen Entscheidungen der Regierungen müssen kultureller, wissenschaftlicher und privater Austausch gewährleistet bleiben, um eine langfristige Entfremdung zwischen Ländern zu verhindern. Private Besuche waren während der Blockkonfrontation die wichtigsten Mittel, um eine Annäherung zwischen den Menschen zu ermöglichen. Die Zerstörung der zivilgesellschaftlichen Beziehungen ist destruktiv und gefährlich, sie befördert Entfremdung, Nationalismus und Konfrontation. Die Bundesregierung ist offensichtlich unfähig, über kurzfristige emotionale Impulse hinaus eine rationale Außenpolitik zu gewährleisten.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/ausgrenzung-stoppen-und-austausch-foerdern/
Ampel-Regierung macht sich zum Goldesel der Rüstungsindustrie,31. August 2022,Sevim Dagdelen,Pressemitteilung,"„Die massiv gestiegenen Rüstungsexporte und die nicht enden wollenden Rufe gerade aus den Reihen der Grünen nach immer neuen Waffenlieferungen in die Ukraine zeigen, wie dringend notwendig ein gesetzliches Verbot von Rüstungsexporten ist, wie es DIE LINKE schon lange fordert“, erklärt Sevim Dagdelen, Obfrau der Fraktion DIE LINKE im Auswärtigen Ausschuss und Sprecherin für Abrüstungspolitik, zu dem vom Ampel-Kabinett verabschiedeten Rüstungsexportbericht 2021. Dagdelen weiter:„Für die Rekordzahlen bei den Rüstungsexporten trägt Olaf Scholz Verantwortung, der als Vizekanzler nur wenige Stunden vor dem Regierungswechsel im Dezember in einem wahren Schurkenstück noch großen Waffendeals zugestimmt hat und als Kanzler heute mit praktisch endlosen Waffenlieferungen an Kiew lieber den Krieg in der Ukraine verlängert, als um einen Verhandlungsfrieden zu ringen.Das Wahlversprechen der Grünen, Waffenexporte zu reduzieren, ist Makulatur. Mit der vielbeschworenen ‚Zeitenwende‘ zur massiven Aufrüstung der Bundeswehr und immer neuen Waffenlieferungen an die Ukraine hat sich die Ampel-Regierung zum Goldesel der deutschen Rüstungsindustrie gemacht. Die Zeche zahlen die Bürgerinnen und Bürger, die schon jetzt mit der Gasumlage und explodierenden Energiepreisen ruiniert werden.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/ampel-regierung-macht-sich-zum-goldesel-der-ruestungsindustrie/
Beschäftigte und Arbeitslose in der Krise nicht im Stich lassen,31. August 2022,Jessica Tatti,Pressemitteilung,"„Der Arbeitsmarkt zeigt sich im August mit einer offiziellen Arbeitslosenquote von 5,6 Prozent noch weitgehend stabil. Allerdings: Die weiter steigenden Energiepreise machen sowohl den Bürgerinnen und Bürgern als auch vielen Unternehmen stark zu schaffen. Es ist davon auszugehen, dass der Arbeitsmarkt in den kommenden Monaten unter Druck geraten wird und viele Betriebe nur zögerlich neues Personal einstellen werden. Auch Kurzarbeit könnte wieder ein Thema werden. Das wird sich vor allem auf die Beschäftigungschancen von Langzeitarbeitslosen auswirken, die ohnehin einen schweren Stand am Arbeitsmarkt haben“, kommentiert Jessica Tatti, arbeitsmarkt- und sozialpolitische Sprecherin der Fraktion DIE LINKE, die heute von der Bundesagentur für Arbeit veröffentlichten Arbeitslosenzahlen. Tatti weiter:„Angesichts der sich verschlechternden Lage für Langzeitarbeitslose ist es völlig falsch, dass die Bundesregierung unverfroren an ihren Plänen festhält, die Leistungen zur Eingliederung in Arbeit um über 600 Millionen Euro im Bundeshaushalt für 2023 zu kürzen. Das bedeutet weniger Weiterbildungen für Arbeitslose und damit eine bewusste Verschlechterung der Chancen auf einen Job. Auch beim Verwaltungsetat der Jobcenter will die Bundesregierung kürzen. Damit wird die mit dem Bürgergeld versprochene bessere Beratung und Betreuung von Arbeitslosen einfach weggespart.Die Bundesregierung muss endlich zur Vernunft kommen: Sie muss die geplante Gasumlage fallen lassen. Sie muss die Energiepreise deckeln, um Beschäftigte, Arbeitslose und auch Unternehmen zu entlasten. Sie darf sich nicht weiter vor der Übergewinnsteuer für Krisengewinnler drücken. Eine Regierung muss in der Krise die Not der Leute lindern und darf sie nicht noch weiter verschlimmern.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/beschaeftigte-und-arbeitslose-in-der-krise-nicht-im-stich-lassen/
Scholz' Prager Aufrüstungsprogramm ist weiterer sozialer Sprengstoff,29. August 2022,Sevim Dagdelen,Pressemitteilung,"„Es ist einfach dreist und abgehoben, wie die Ampel mit ihrer unsozialen Gasumlage und ungebremst steigenden Energiepreisen die Bürgerinnen und Bürger ausplündert und gleichzeitig den Rüstungskonzernen Milliardengewinne sichert. Mit der geplanten Anschaffung des neuen Luftkampfsystems signalisiert Scholz in fataler Weise eine weitere massive Aufrüstung der Bundeswehr. Unbegrenzte Waffenlieferungen in die Ukraine dienen allein den Profiten deutscher Rüstungskonzerne und gießen weiter Öl ins Feuer“, erklärt Sevim Dagdelen, Obfrau der Fraktion DIE LINKE im Auswärtigen Ausschuss und Sprecherin für Abrüstungspolitik, anlässlich der Rede von Bundeskanzler Olaf Scholz in Prag. Dagdelen weiter:„Das neue Hochrüstungsprogramm von Kanzler Olaf Scholz ist sozialer Sprengstoff und eine Kampfansage an die, die schon jetzt unter Inflation und Preistreiberei leiden. Der bevorstehende Antikriegstag sollte einem sozialdemokratischen Bundeskanzler Anlass sein, mit aller Kraft für einen Waffenstillstand und Verhandlungsfrieden in der Ukraine zu werben, statt Deutschland mit dem Aufbau der ukrainischen Artillerie und Luftverteidigung immer weiter in den Krieg zu ziehen. Die Gasumlage zugunsten der Gaskonzerne wie auch der astronomische Anstieg der Energiepreise müssen gestoppt werden.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/scholz-prager-aufruestungsprogramm-ist-weiterer-sozialer-sprengstoff/
Tempolimit 30 innerorts für mehr Verkehrssicherheit,25. August 2022,Thomas Lutze,Pressemitteilung,"„Wenn der herrschenden Politik beim Tempolimit schon Fragen wie Klimawandel, Lärmschutz und Energieverbrauch egal sind, dann sollte doch zumindest die Sicherheit unserer Kleinsten es wert sein, Tempo 30 innerorts einzuführen. Dann könnten immer noch einzelne Straßen mit 50 oder mehr km/h beschildert werden. Aber der aktuelle Stand, dass jede Kommune explizit begründen muss, wenn sie Straßen auf Tempo 30 umbeschildern will, ist ein nicht hinzunehmender Fakt“, erklärt Thomas Lutze, verkehrspolitischer Sprecher der Fraktion DIE LINKE, anlässlich des Ferienendes und des Schulanfangs in zahlreichen Bundesländern. Lutze weiter:„Gerade zum Schulanfang starten jedes Jahr zahlreiche Kampagnen und Initiativen für mehr Verkehrssicherheit. Alles gut und wichtig. Doch überhöhte und unangemessene Geschwindigkeiten sind die Hauptursachen für Verkehrsunfälle. Eine Entschleunigung des Automobilverkehrs kann ein wirksamer Beitrag sein, um die Unfallzahlen zu senken. Dafür reicht eine kleine Veränderung der Straßenverkehrsordnung.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/tempolimit-30-innerorts-fuer-mehr-verkehrssicherheit/
Verkehrsministerkonferenz muss Verlängerung des 9-Euro-Tickets bringen,25. August 2022,Bernd Riexinger,Pressemitteilung,"„Die morgige Sonder-Verkehrsministerkonferenz muss liefern. Wir brauchen eine Nachfolgelösung für das 9-Euro-Ticket – am besten eine Verlängerung bis Ende des Jahres. Dies ist angesichts der weiterhin hohen Inflation als wirksame Entlastung mehr als geboten. Es ist sozial und ökologisch. Ich stimme Bundeskanzler Scholz zu, dass das 9-Euro-Ticket eine der besten Ideen der Ampelkoalition war. So gute Ideen dürfen sich nicht im Sand verlaufen“, erklärt Bernd Riexinger, Sprecher für nachhaltige Mobilität der Fraktion DIE LINKE, zur Sonder-Verkehrsministerkonferenz. Riexinger weiter:„DIE LINKE fordert seit langem einen kostengünstigen ÖPNV mit Perspektive zum Nulltarif. Mehrfach haben wir in den letzten Monaten im Bundestag beantragt, das 9-Euro-Ticket zumindest bis Ende des Jahres fortzuführen und die Zeit bis dahin zu nutzen, um eine tragfähige sowie dauerhafte Finanzierung des öffentlichen Nahverkehrs zu finden. Das Agieren der Koalition war kurzsichtig. Das hat uns in die jetzige unsägliche Situation geführt. Es ist unfassbar und verantwortungslos, dass kurz vor Auslaufen der Maßnahme immer noch keine Idee auf dem Regierungstisch liegt. Für uns ist klar: Der Bund muss die Regionalisierungsmittel deutlich aufstocken. Wir brauchen einen gut ausgebauten, kostengünstigen öffentlichen Nahverkehr mit ausreichend und vernünftig bezahltem Personal.Viele Stimmen aus SPD und Grünen haben sich immer wieder für die Verlängerung des 9-Euro-Tickets ausgesprochen. Insbesondere die Grünen erweckten den Eindruck, sie seien noch in der Opposition. Es ist Zeit, dass sie sich ihrer Regierungsverantwortung bewusst werden und konkrete Maßnahmen gegen Finanzminister Lindner und seine FDP durchsetzen. Es kann nicht angehen, dass wir jetzt wieder in den Tarifdschungel von vor dem 9-Euro-Ticket zurückfallen. Oder schlimmer noch: Pendlerinnen und Pendler teils mit sogar höheren Ticketpreisen als vor dem 9-Euro-Ticket konfrontiert werden.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/verkehrsministerkonferenz-muss-verlaengerung-des-9-euro-tickets-bringen/
Bund und Länder müssen die Kommunen jetzt massiv unterstützen,23. August 2022,Jan Korte,Pressemitteilung,"„Nach den Belastungen durch die Corona-Krise muss verhindert werden, dass die hohen Energiepreise zur Abrissbirne für das soziale und kulturelle Leben in den Kreisen, Städten und Dörfern werden. Wer Einschränkungen kommunaler Leistungen als ,Preis der Freiheit' abtut, ignoriert völlig, dass vor allem diejenigen darunter leiden werden, die auf staatliche Einrichtungen angewiesen sind und sich eben keine privaten Anbieter leisten können“, erklärt Jan Korte, 1. Parlamentarischer Geschäftsführer der Fraktion DIE LINKE. Korte weiter:„Wenn die Lebensqualität der Bevölkerung nicht auf Jahrzehnte eingeschränkt werden soll, müssen Bund und Länder sich sofort zusammensetzen und ein Hilfspaket für die Kommunen schnüren. Denn Kommunen, die ihre Schwimmbäder oder Bibliotheken noch über die letzten Jahre retten konnten, werden diese endgültig aufgeben und die Schulsanierung auf 2050 verschieben. Es wird zu massiven Einschränkungen bei der Förderung von sozialen Angeboten, von Sportvereinen oder Kulturangeboten kommen, mit dem Risiko, dass diese endgültig verschwinden. Schon vor den aktuellen Krisen gab es für viele Kommunen kaum eine Perspektive, den laut KfW-Kommunalpanel 149 Milliarden Euro großen Investitionsstau zu bewältigen, wobei ein Drittel dieses Betrags allein bei Schulsanierungen fehlt. Diese Abwärtsspirale muss gestoppt werden, sei es durch ein milliardenschweres Sondervermögen nach dem Vorbild der Bundeswehr-Aufrüstung oder durch die Abschaffung der schwarzen Null. Funktionierende Kommunen sind Voraussetzung für den gesellschaftlichen Zusammenhalt und die Demokratie – um nichts weniger geht es hier.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/bund-und-laender-muessen-die-kommunen-jetzt-massiv-unterstuetzen/
Keine deutschen Kriegsmanöver gegen China,19. August 2022,Sevim Dagdelen,Pressemitteilung,"„Es ist der schiere Wahnsinn, dass die Bundesregierung mit den USA und ihren Verbündeten im Indopazifik den Krieg gegen China probt. Eine Konfrontation mit der Volksrepublik droht Bürger und Wirtschaft in Deutschland endgültig zu ruinieren“, erklärt Sevim Dagdelen, Obfrau der Fraktion DIE LINKE im Auswärtigen Ausschuss, zur Beteiligung der Bundeswehr an der heute beginnenden Kriegsübung „Pitch Black 2022“ in Australien. Dagdelen weiter:„Die Entsendung von sechs Kampfflugzeugen vom Typ Eurofighter, drei Tankflugzeugen A330 MRTT und vier Transportflugzeugen A400M zur größten Kriegsübung der australischen Luftwaffe ist das komplett falsche Signal. Die Beteiligung deutscher Soldaten an Militärmanövern im Indopazifik mag Washington gefallen und reiht sich in die US-Provokationen gegen die Ein-China-Politik ein, sie ist aber kein Beitrag zu Frieden, Sicherheit und Stabilität in der Region und hat schon gar nichts mit dem grundgesetzlich begrenzten Einsatzauftrag der Bundeswehr zur Landesverteidigung zu tun. Deutschlands Sicherheit wird nicht mit Kampfjets in der Asien-Pazifik-Region verteidigt, sondern durch eine kluge Entspannungspolitik, Diplomatie und internationale Kooperation im Interesse der Versorgungssicherheit der Bevölkerung.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/keine-deutschen-kriegsmanoever-gegen-china/
Humanitäre Hilfe braucht Frieden statt weitere Waffenlieferungen,18. August 2022,Zaklin Nastic,Pressemitteilung,"„Zum Welttag der humanitären Hilfe appelliere ich dringend an Außenministerin Annalena Baerbock: Machen sie endlich Ihren Job und setzen Sie sich für ein sofortiges Ende der Kampfhandlungen in allen von Krieg betroffenen Ländern ein. Hören Sie auf, mit doppelten Standards die Kriegsverbrechen von Freunden und Verbündeten zu ignorieren. Am 19. August denken wir an alle Menschenrechtsaktivisten und humanitären Helfer, die wegen ihrer Mission ermordet wurden“, erklärt Zaklin Nastic, menschenrechtspolitische Sprecherin und Obfrau der Fraktion DIE LINKE im Verteidigungsausschuss des Bundestags. Nastic weiter:„Vor genau einem Jahr starb der NGO-Mitarbeiter Zemari Ahmadi zusammen mit neun weiteren Menschen, darunter sieben Kindern, bei einem Drohnenangriff des amerikanischen Militärs in Afghanistan. Bürgerkrieg und Drohnenangriffe fordern auch nach einer 20 Jahre andauernden Militärintervention täglich weitere Opfer. Libyen bleibt auch mehr als elf Jahre nach der internationalen Militärintervention eine No-Go-Area für internationale Helfer. Ebenso der Jemen: Nach sieben Jahren saudischer Angriffe spielt sich dort täglich eine riesige humanitäre Katastrophe ab, humanitäre Helfer werden entführt und bombardiert. Mit dem völkerrechtswidrigen Angriff der Russischen Föderation auf die Ukraine droht nun auch Europa zum Schauplatz eines endlosen Krieges zu werden: Beide Kriegsparteien greifen zivile Infrastruktur an und ziehen Zivilpersonen in die Kämpfe hinein. Dieses Vorgehen gefährdet humanitäre Helfer und Einrichtungen.Humanitäre Hilfe braucht Frieden statt weitere Waffenlieferungen! Dass eine positive Entwicklung möglich ist, sehen wir dieser Tage in Kolumbien. Die neue Regierung von Gustavo Petro und Francia Márquez beginnt zügig Verhandlungen mit allen Gewaltakteuren. Kaum ein anderes Land war bisher gefährlicher für humanitäre Helfer und Menschenrechtsaktivisten. Allein im ersten Halbjahr zählte die NGO Indepaz 114 ermordete Aktivisten und Menschenrechtsverteidiger. Ich hoffe, dass es der neuen Regierung gelingt, nach 60 Jahren endlich den inneren Konflikt zu befrieden. Jeder Krieg kann in einen Frieden münden – aber nur, wenn Diplomatie und Verhandlungen den Weg bestimmen.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/humanitaere-hilfe-braucht-frieden-statt-weitere-waffenlieferungen/
Afghanische Staatsgelder für Kampf gegen den Hunger freigeben,15. August 2022,Sevim Dagdelen,Pressemitteilung,"""Die Bundesregierung hat nichts gelernt aus 20 Jahren Krieg in Afghanistan und dem Desaster beim Abzug aus Kabul. Während des sinnlosen NATO-Krieges wurden täglich 300 Millionen Dollar verballert und mehr als 200.000 Afghanen getötet sowie 59 Soldaten der Bundeswehr. Heute muss die Bevölkerung am Hindukusch hungern, auch weil afghanische Staatsgelder in Banken in Deutschland eingefroren sind. Die Bundesregierung muss die Gelder umgehend freigeben für den Kampf gegen den Hunger und für humanitäre Hilfe statt Hunger weiter als Waffe einzusetzen im fatalen Irrglauben, damit die Taliban zu treffen"", erklärt Sevim Dagdelen, Obfrau der Fraktion DIE LINKE im Auswärtigen Ausschuss und Sprecherin für Internationale Politik. Dagdelen weiter: „Als Konsequenz aus dem verbrecherischen Krieg der westlichen Militärallianz in Afghanistan mit den vielen Kriegsverbrechen auch von NATO-Staaten muss die Bundesregierung die Auslandseinsätze der Bundeswehr stoppen, allen voran die seit fast zehn Jahren andauernde Intervention in Mali an der Seite der früheren Kolonialmacht Frankreich. Die deutschen Soldaten werden von der Bevölkerung in Mali zunehmend als Besatzer erlebt und müssen umgehend und dauerhaft aus der Sahel-Region abgezogen werden statt aus ideologischen Gründen am Verbleib festzuhalten.""",https://www.linksfraktion.de/presse/pressemitteilungen/detail/afghanische-staatsgelder-fuer-kampf-gegen-den-hunger-freigeben/
Lindner muss Gasumlage aus Bundeshaushalt finanzieren – Mehrwertsteuerermäßigung reicht nicht,14. August 2022,Christian Görke,Pressemitteilung,"„Die beabsichtige Gasumlage ist ein fataler Fehler. Der Verzicht auf russisches Gas war und ist eine politische Entscheidung. Deshalb bedarf es auch einer finanzpolitischen Entscheidung, um die Gaskunden nicht doppelt in Haftung zu nehmen“, erklärt Christian Görke, finanzpolitischer Sprecher der Fraktion DIE LINKE im Bundestag, zum Antrag des Bundesfinanzministeriums bei der EU Kommission, auf die Erhebung der Mehrwertsteuer bei der Gasumlage verzichten zu können. Görke weiter:„Eine Mehrwertsteuerermäßigung, wie sie heute vom Bundesfinanzminister in Brüssel beantragt worden ist, ist angesichts der horrenden finanziellen Belastungen, die jetzt schon an die Gaskunden durchgereicht werden, völlig inakzeptabel. Die Gasumlage muss aus dem Bundeshaushalt finanziert werden.Die Umlage ist zudem ein bürokratisches Monster und entwertet die bisherigen Entlastungspakete. Lindner schwimmt in Steuermehreinnahmen, und außerdem ist die Schuldenbremse 2022 noch ausgesetzt.“",https://www.linksfraktion.de/presse/pressemitteilungen/detail/lindner-muss-gasumlage-aus-bundeshaushalt-finanzieren-mehrwertsteuerermaessigung-reicht-nicht/
