url,date,author,headline,subtitle,primer,text
https://www.cducsu.de/presse/pressemitteilungen/auf-kanzlerin-merkel-wartet-eine-herkulesaufgabe,16.07.2020,Florian Hahn,Auf Kanzlerin Merkel wartet eine Herkulesaufgabe,EU-Gipfel strebt Einigung auf Haushaltsplan und Wiederaufbaufonds an – Viele Fragen noch offen,"Die EU-Staats- und Regierungschefs kommen am morgigen Freitag zu einem Gipfeltreffen in Brüssel zusammen, um eine Einigung auf den Mehrjährigen Finanzrahmen und den Wiederaufbaufonds zu erzielen. Dazu erklärt der europapolitische Sprecher der CDU/CSU-Bundestagsfraktion, Florian Hahn:","„Auf Bundeskanzlerin Angela Merkel als amtierende EU-Ratspräsidentin wartet eine Herkulesaufgabe. Zahlreiche bilaterale Treffen und hektische Diplomatie sind Beleg für die Spannungen im Vorfeld des Gipfeltreffens. Eine Einigung auf den EU-Finanzrahmen und den EU-Wiederaufbaufonds wäre dringlich, damit die europäischen Hilfsgelder endlich fließen können. Indessen rückt sie in immer weitere Ferne.Ratspräsident Charles Michel hat in seiner Verhandlungsbox zu viele Fragen offen gelassen - zum Beispiel die Höhe des Wiederaufbaufonds und ein austariertes Verhältnis von Zuschüssen und Darlehen. Seine Vorschläge zu den Eigenmitteln und zur Verknüpfung von EU-Zahlungen mit Rechtsstaatlichkeit sind schwach. Nun soll Kanzlerin Merkel es richten.Konstatieren muss man zudem, dass eine Einigung durch das Prinzip der Einstimmigkeit erheblich erschwert wird. Bei diesem Gipfeltreffen scheint das Prinzip an seine Grenzen zu stoßen. Das sollte uns den Anstoß geben, uns mit der mehr oder weniger generellen Erfordernis der Einstimmigkeit vorurteilsfrei auseinanderzusetzen, zum Beispiel im Rahmen der Konferenz zur Zukunft Europas.“"
https://www.cducsu.de/presse/pressemitteilungen/mehr-mittel-fuer-die-eu-aussen-und-sicherheitspolitik,14.07.2020,Jürgen Hardt,Mehr Mittel für die EU-Außen- und Sicherheitspolitik,Charles Michels Kürzungsvorschläge müssen im Interesse jedes EU-Bürgers nachgebessert werden,"Der Präsident des Europäischen Rats, Charles Michel, hat seinen Verhandlungsvorschlag für den zukünftigen Finanzrahmen der EU vorgelegt. Dieser sieht gegenüber dem Entwurf der EU-Kommission deutliche Kürzungen im Bereich der gemeinsamen Außen-, Sicherheits- und Verteidigungspolitik vor. Hierzu erklärt der außenpolitische Sprecher der CDU/CSU-Fraktion im Deutschen Bundestag, Jürgen Hardt:","„Nicht nur die Ausbreitung von COVID-19, sondern auch die Zuspitzung internationaler Krisen erfordern eine stärkere Handlungsfähigkeit der Europäischen Union in der Außen- und Sicherheitspolitik. Die EU muss ein eigenständiger und souveräner Akteur im Weltgeschehen sein und eigene Interessen und Werte durchsetzen können. Deshalb ist für die Außen- und Sicherheitspolitik der EU ein höherer Mittelansatz notwendig.Wir erleben Bürgerkriege, Flucht und Vertreibung in Afrika und im Nahen und Mittleren Osten. Anders als früher kann sich die EU nicht uneingeschränkt auf die Ordnungsrolle der USA verlassen. Humanitäre Notlagen infolge dieser Konflikte berühren uns in Europa direkt. Hier Leid und Elend zu verhindern, ist ethisch und rational geboten.In der ganzen Welt erleben wir darüber hinaus eine wachsende Einflussnahme Chinas, die überwiegend eigennützigen Motiven folgt und uns in unserem freien Handeln beschränken könnte.Auch in Europa selbst gibt es offene Konflikte, etwa durch den Völkerrechtsbruch Russlands gegenüber der Ukraine, aber auch durch fragile Machtverhältnisse im westlichen Balkan. Ein starker außen- und sicherheitspolitischer Pfeiler der Europäischen Union liegt im Grundinteresse eines jeden Bürgers der EU.Vor diesem Hintergrund ist es vollkommen unverständlich, dass der Verhandlungsvorschlag des Präsidenten des Europäischen Rates, Charles Michel, ausgerechnet beim Europäischen Verteidigungsfonds und bei der  Europäische Friedensfazilität signifikante Kürzungen gegenüber dem Kommissionvorschlag vorsieht. Genau diese Bereiche sind es, die die außenpolitische Handlungsfähigkeit der EU stärken sollen. Mehr Mittel gerade hier schaffen die Voraussetzung, dass die politischen Vorgaben der ‚Globalen Strategie der EU‘ umgesetzt können.Die CDU/CSU-Fraktion tritt dafür ein, den Haushaltsentwurf für die Außen- und Sicherheitspolitik der EU deutlich nach oben zu korrigieren, damit die EU auf allen Politikfeldern handlungsfähig bleibt.“"
https://www.cducsu.de/presse/pressemitteilungen/wohlstand-auf-hohem-niveau-gesichert,14.07.2020,14.07.2020,Wohlstand auf hohem Niveau gesichert,Über eine Billion Euro 2019 für Soziales ausgegeben,"Nach dem Bericht des Bundesministeriums für Arbeit und Soziales erreichten die Sozialausgaben in Deutschland im Jahr 2019 wieder einen neuen Rekord: Die Billionen-Euro-Grenze wurde überschritten. Dazu erklärt der arbeitsmarkt- und sozialpolitische Sprecher der CDU/CSU-Bundestagsfraktion, Peter Weiß:","„Im Jahre 2019 wurden für Sozialleistungen mehr als eine Billion Euro ausgegeben. Die Sozialleistungsquote stieg im Vergleich zu 2018 um knapp 1 Prozent an. Die Ausgabensteigerungen in Höhe von 44,3 Milliarden Euro sind aufgrund der robusten wirtschaftlichen Lage Deutschlands im Jahre 2019 gut zu vertreten.Es ist aber schon heute klar: Wir müssen wegen der Corona-Krise und den damit verbundenen wirtschaftlichen Einbrüchen für das Jahr 2020 mit noch höheren Sozialausgaben und einer Steigerung der Sozialleistungsquote rechnen. Die Lage ist ernst! Ziel muss es aber sein, dass sich nach der Corona-Krise die Sozialausgaben wieder stärker an der wirtschaftlichen Gesamtentwicklung Deutschlands orientieren.Soziale Verantwortung zeigt sich jedoch nicht nur an den Ausgaben für Soziales, sondern auch in einer ausgewogenen Bilanz zwischen Einnahmen und Ausgaben; darauf achten wir. Nur so kann unsere Soziale Marktwirtschaft ihr Wohlstandsversprechen halten.Wir - die CDU/CSU-Bundestagsfraktion – haben mit vielen gesetzgeberischen Maßnahmen in dieser Krisenzeit dafür gesorgt, dass viele Jobs erhalten bleiben und die deutsche Wirtschaft wieder an ihre bisherigen Erfolge anknüpfen und künftig Wachstum generieren kann.“ "
https://www.cducsu.de/presse/pressemitteilungen/die-dachstruktur-aufzuloesen-bedeutet-die-aufloesung-einer-weltmarke,13.07.2020,13.07.2020,Die Dachstruktur aufzulösen bedeutet die Auflösung einer Weltmarke,Reformpläne sollen die Stiftung Preußischer Kulturbesitz wieder international wettbewerbsfähig machen,"Nach zweijähriger Evaluation hat der Wissenschaftsrat am heutigen Montag ein Gutachten zur Zukunft der „Stiftung Preußischer Kulturbesitz“ vorgelegt. Dieses empfiehlt u.a. die komplette Neustrukturierung der Staatlichen Museen zu Berlin. Dazu erklärt die kulturpolitische Sprecherin der CDU/CSU-Fraktion im Deutschen Bundestag, Elisabeth Motschmann:","„Das Gutachten ist der Beginn einer nun einsetzenden kulturpolitischen Diskussion von Bund und Ländern über eine der bedeutendsten Kultureinrichtungen weltweit. Nur mit einem breiten Konsens aller Beteiligten kann der empfohlene Reformbedarf realisiert werden. Die fundierte Analyse des Wissenschaftsrates ist für diese Diskussion eine wertvolle Grundlage. Alle Empfehlungen werden nicht umsetzbar sein, zumal die Vorschläge mit deutlich mehr staatlichen Zuwendungen verbunden sind. Auch die Auflösung der jetzigen Struktur in vier Teile wird sorgfältig bedacht werden müssen. Die Dachstruktur aufzulösen hieße auch die Auflösung einer Weltmarke.Der Aufbau von Verwaltungsstrukturen und Bürokratie ist niemals Selbstzweck und darf nicht im Vordergrund stehen. Alle Veränderungen müssen einen inhaltlichen Mehrwert für die wertvollen Sammlungen, ihre Präsentation und Erforschung bringen. Auch die Frage, wie man die Besucherzahlen weiter steigern kann, muss ein wichtiges Ziel sein.Die Bedeutung der Stiftung im internationalen Wettbewerb darf nicht verloren gehen. Sie muss zukunftsfest gemacht werden. Wir freuen uns auf eine intensive öffentliche Debatte über den Reformprozess der ‚Stiftung Preußischer Kulturbesitz‘ - dem Flaggschiff der deutschen Kultur in den nächsten Jahren.“"
https://www.cducsu.de/presse/pressemitteilungen/koalitionsfraktionen-einigen-sich-auf-gesetz-zur-staerkung-des-fairen-wettbewerbs,13.07.2020,"Thorsten Frei, Dr. Jan-Marco Luczak, Ingmar Jung",Koalitionsfraktionen einigen sich auf Gesetz zur Stärkung des fairen Wettbewerbs,Kleine und mittlere Unternehmen sollen vor Abmahnmissbrauch geschützt werden,"Die Koalitionsfraktionen von CDU/CSU und SPD haben sich auf den Entwurf eines Gesetzes zur Stärkung des fairen Wettbewerbs geeinigt. Dieser soll nun unmittelbar nach der parlamentarischen Sommerpause im Deutschen Bundestag beschlossen werden. Hierzu erklären der Stellvertretende Vorsitzende der CDU/CSU-Bundestagsfraktion, Thorsten Frei, der rechts- und verbraucherpolitische Sprecher Dr. Jan-Marco Luczak und der zuständige Berichterstatter Ingmar Jung:","Thorsten Frei: „Die Einigung zwischen Union und SPD ist ein gutes Signal für unsere Wirtschaft: Wir stärken den Schutz kleiner und mittlerer Unternehmen vor Auswüchsen des Abmahnmissbrauchs. Damit zeigt sich: Die Koalition liefert. Wir setzen mit diesem Gesetz die Vereinbarung mit der SPD vom Sommer 2018 um, mit der wir zugesagt hatten, kleine und mittlere Unternehmen vor Abmahnmissbräuchen wegen der Datenschutzgrundverordnung zu schützen. Denn gerade kleine Akteure waren in Sorge vor kostenpflichtigen Abmahnungen wegen Verstößen gegen die Datenschutzgrundverordnung. Dieser Schutz wird jetzt Gesetz. Die Einigung sieht vor: Abmahner können keinen Aufwendungsersatz verlangen, wenn etwa Angaben im Impressum falsch sind. Allgemein sind kleine und mittlere Unternehmen vor solchen Forderungen bei Verstößen gegen die Datenschutzgrundverordnung geschützt. Das ist ein wichtiges und richtiges Signal und ein guter Ausgleich zwischen den Interessen von Unternehmen und ihren Wettbewerbern.“       Dr. Jan-Marco Luczak: „Mit dem Gesetz zur Stärkung des fairen Wettbewerbs sorgen wir dafür, dass Abmahnvereinen ein Riegel vorgeschoben wird. Denn wir schärfen die Voraussetzungen, unter denen Mitbewerber, Verbände oder Einrichtungen berechtigt sind, Abmahnungen auszusprechen. Wichtig ist: Das Wettbewerbsrecht darf nicht als Vorwand genutzt werden, um rechtschaffene Unternehmen wegen kleinster Verstöße zur Kasse zu bitten. Nur so können wir sicherstellen, dass das bewährte Instrument der Abmahnung nicht fälschlich genutzt wird, um Wettbewerbern Schaden zuzufügen.“Ingmar Jung: „Die Koalition belegt auch mit diesem Gesetz ihre Handlungsfähigkeit. Im Designrecht enthält das Gesetz einen wichtigen Kompromiss: Wer Ersatzteile anbietet, kann dies künftig für neue Designs auch neben dem Hersteller von Originalteilen tun. Bei diesem Kompromiss war uns wichtig, dass sich die Rechtslage für bisher eingetragene Designs nicht ändert. Damit werden Ersatzteile für die Verbraucher günstiger und gleichzeitig schützen wir das Vertrauen in bisher bestehende Rechte, indem wir nicht rückwirkend eingreifen.“ "
https://www.cducsu.de/presse/pressemitteilungen/syrien-resolution-kann-minimum-humanitaerer-hilfe-fuer-bevoelkerung-sichern,12.07.2020,Jürgen Hardt,Syrien-Resolution kann Minimum an humanitärer Hilfe für Bevölkerung sichern,Russland und China tragen Verantwortung für fortgesetztes Leid der Menschen,"Nach schwierigen Verhandlungen hat sich der UN-Sicherheitsrat am gestrigen Samstag auf eine Resolution geeinigt, die auch weiterhin humanitäre Hilfe für die notleidende Bevölkerung in Syrien von der Türkei aus zulässt. Durch eine russisch-chinesische Blockadehaltung können nicht mehr wie bisher zwei Grenzübergänge, sondern künftig nur noch einer genutzt werden. Hierzu erklärt der außenpolitische Sprecher der CDU/CSU-Fraktion im Deutschen Bundestag, Jürgen Hardt:","Es ist ein Erfolg für die hartnäckige Verhandlungsführung unseres deutschen UN-Botschafters Christoph Heusgen und seinem Team, dass eine Einigung erzielt werden konnte, die zumindest eingeschränkt die weitere humanitäre Versorgung der notleidenden Bevölkerung in Syrien garantiert. Gerade in Zeiten der Corona-Pandemie kann zumindest einem Teil der Bevölkerung lebenswichtige Hilfe und Nahrungsmittel zukommen.Dieses Ergebnis hat jedoch einen faden Beigeschmack. Russland und China haben auf menschenverachtende Weise geopolitische Interessen durchgesetzt. Es ist inakzeptabel, dass vollkommen unpolitische und am Konflikt in keiner Weise beteiligte humanitäre Organisationen nicht auch weiterhin über mindestens zwei Grenzübergänge Hilfe leisten dürfen. Hierdurch wird sich die Not der Bevölkerung, insbesondere vieler Kinder, weiter verschärfen. Eine Hungersnot ist absehbar. Dafür tragen die Präsidenten Putin und Xi persönlich Verantwortung.Dieses Beispiel zeigt, wie handlungsunfähig das wichtigste Gremium der UN durch das russische und chinesische Verhalten mit Blick auf die gravierendsten Krisen der Welt geworden ist. Wir müssen dringend Wege finden, wie das Völkerrecht weiterentwickelt werden kann, damit dieses nicht zur Geisel einzelner Staaten wird. Ein zweiter Fall Syrien darf sich nicht wiederholen.
 "
https://www.cducsu.de/presse/pressemitteilungen/voelkermord-von-srebrenica-bleibt-mahnung-und-auftrag-zum-handeln,10.07.2020,Michael Brand,Völkermord von Srebrenica bleibt Mahnung und Auftrag zum Handeln,Serbien muss sich zur Verantwortung bekennen – Voraussetzung für Versöhnung,"Am 11. Juli vor 25 Jahren fand in Srebrenica der brutale Genozid an mehr als 8.000 Bosniern statt. Dazu erklärt der Vorsitzende der Arbeitsgruppe Menschenrechte und humanitäre Hilfe der CDU/CSU-Bundestagsfraktion, Michael Brand:","„Am 11. Juli erinnert die Welt an den Genozid von Srebrenica, bei dem mehr als 8.000 unschuldige Menschen grausam ermordet wurden. Die zivilisierte Welt würdigt die Opfer dieses Massakers – Folge eines von außen in das Land getragenen Krieges. Dessen bittere Bilanz sind über 100.000 Tote, Millionen Verletzte und Vertriebene sowie zehntausende vergewaltigte Frauen. Der Völkermord von Srebrenica ist das größte Verbrechen gegen die Menschlichkeit in Europa nach dem Zweiten Weltkrieg.Bis heute sind die physischen und psychischen Verletzungen dieser Aggression gegen ein friedliches Bosnien-Herzegowina nicht verwunden. Das unter politischem Zeitdruck vermittelte Friedensabkommen von Dayton wird von ethno-nationalistischen Politikern in Serbien seit über zwei Jahrzehnten dazu missbraucht, wichtige Schritte in Richtung eines modernen europäischen Staates zu blockieren.Auch 25 Jahre nach Ende des Krieges versuchen extremistische und nationalistische Politiker noch immer, schwerste Kriegsverbrechen unter den Teppich zu kehren und die Geschichte umzuschreiben. Serbische Politiker, die für die Gräuel verantwortlich waren, leugnen den Völkermord weiterhin.Am Tag des Gedenkens an den Völkermord von Srebrenica muss sich die Europäische Union darauf besinnen, wofür sie steht – für das friedliche Zusammenleben der Völker. Die Aufarbeitung des Völkermords ist unabdingbare Voraussetzung für Versöhnung, die Einhaltung der Menschenrechte und Wahrheit die Grundvoraussetzung für den Frieden.Deshalb muss die EU die Menschenrechtslage aller ihrer Beitrittskandidaten mit größter Aufmerksamkeit verfolgen, deshalb muss sie konsequent auf die Einhaltung der Menschenrechte dringen. Sowohl gegenüber Bosnien-Herzegowina als auch gegenüber Kosovo steht die Europäische Union in der Pflicht, die Interessen der dortigen Bevölkerung und vor allem der Opfer brutaler serbischer Kriegsführung zu wahren. Sie darf keines der Opfer vergessen.Dies ist mehr als ein jährliches Ritual: Es ist eine politische Herausforderung, der sich Europa als ein zivilisierter Kontinent, der die Menschenrechte hochhält, 25 Jahre nach den schrecklichen Ereignissen im Juli 1995 stellen muss.“"
https://www.cducsu.de/presse/pressemitteilungen/familienplanung-entwicklungslaendern-weiter-foerdern,10.07.2020,"Hermann Gröhe, Volkmar Klein",Familienplanung in Entwicklungsländern weiter fördern,Anhaltendes Bevölkerungswachstum bleibt große Herausforderung,"Am morgigen Samstag, dem 11. Juli, ist Weltbevölkerungstag. Dazu erklären der stellvertretende Vorsitzende der CDU/CSU-Bundestagsfraktion, Hermann Gröhe, und der entwicklungspolitische Sprecher, Volkmar Klein:","Hermann Gröhe: „Im Jahr 1987 lebten erstmals mehr als fünf Milliarden Menschen auf der Erde. Heute sind es fast 7,8 Milliarden – und die Zahlen steigen weiter, vor allem in Afrika. Dies ist eine Herausforderung, die auch Deutschland ernst nehmen muss. Denn wichtige natürliche Lebensgrundlagen unserer Erde sind endlich.Die wachsende Bevölkerung bereitet schon heute vielen Ländern Afrikas massive Probleme. Wasser und Nahrung werden knapp. Es gibt nicht genügend Jobs für die vielen jungen Menschen. Dies führt zu Konflikten und Flucht, die auch uns betreffen können. Wenn in vielen Ländern Afrikas das Bevölkerungswachstum weit höher ist als das Wirtschaftswachstum, kann die Bekämpfung der Armut nicht gelingen. Deshalb muss die Familienplanung in der Entwicklungszusammenarbeit ein wichtiges Aufgabenfeld bleiben. Alle Menschen sollen frei und eigenverantwortlich darüber entscheiden können, ob, wann und wie viele Schwangerschaften sie herbeiführen möchten. Dieses Ziel wurde auch in der Agenda 2030 der Vereinten Nationen verankert. Klar ist aber auch: Abtreibung kann und darf kein normales Mittel der Familienplanung sein. Nicht zuletzt bleibt die gesundheitliche Versorgung schwangerer Frauen und Mädchen wichtig. Denn Schwangerschafts- und Geburtskomplikationen sind weltweit in Entwicklungsländern die häufigste Todesursache bei Mädchen zwischen 15 und 19, die oft ungewollt schwanger geworden sind.“Volkmar Klein: „Auch in der weltweiten Corona-Pandemie muss die deutsche und internationale Entwicklungszusammenarbeit dazu beitragen, dass Projekte, die auf eine nachhaltigere Entwicklung der Geburtenraten abzielen, fortgesetzt werden. Dazu gehören Familienplanungsprogramme. Darüber hinaus sind aber auch die Projekte, die auf die Stärkung der Mädchen abzielen, von besonderer Bedeutung. Wichtig ist vor allem eine bessere Bildung. Wer länger zur Schule geht und damit höhere Qualifikationen erwirbt, bekommt nicht nur später Kinder, sondern insgesamt auch weniger. Zudem haben Mädchen mit höherer Bildung später als Frauen auch wesentlich größere Chancen, selbst für ihren Lebensunterhalt aufkommen und ein selbstbestimmtes Leben führen zu können.“"
https://www.cducsu.de/presse/pressemitteilungen/der-10-milliarden-euro-zukunftsfonds-muss-jetzt-kommen,09.07.2020,Nadine Schön,Der 10-Milliarden-Euro-Zukunftsfonds muss jetzt kommen,Neue Studie belegt wachsenden Kapitalbedarf bei Startups,"Startups brauchen im Schnitt 3,3 Millionen Euro frisches Kapital. Gleichzeitig hat sich die Zuversicht der Gründerinnen und Gründer auf die Akquise frischen Kapitals durch die Corona-Krise deutlich eingetrübt – das ist das Ergebnis einer neuen Studie im Auftrag des Digitalverbands Bitkom. Hierzu erklärt die Stellvertretende Vorsitzende der CDU/CSU-Bundestagsfraktion Nadine Schön:","„Startups sind und bleiben wichtige Innovationsmotoren in unserer Wirtschaft. Wenn wir die Corona-Krise als Chance nutzen wollen, dann können wir auf dieses Innovationspotenzial nicht verzichten. Die Ergebnisse der Studie zeigen, dass frisches Kapital für Startups gerade in Zeiten der Krise dringend benötigt wird. Wenn sich dazu noch die Zuversicht der Gründer eintrübt, wenn es darum geht, an notwendige Finanzierungen zu kommen, dann darf uns das nicht kalt lassen!Mit der ersten Tranche des Zukunftsfonds haben wir bereits 2 Milliarden Euro Soforthilfe für Startups zur Verfügung gestellt. Die hohe Zahl der Anträge hat uns dabei bestätigt und gezeigt, wie wichtig diese Hilfe für die Gründer in Deutschland ist.Nun kommt es darauf an, dass wir in einem zweiten Schritt die Rahmenbedingungen für Wachstumskapital in Deutschland dauerhaft verbessern und mit dem Zukunftsfonds in Höhe der vollen 10 Milliarden Euro dauerhaft Wagniskapital von institutionellen Anlegern mobilisieren. Die Bundesregierung muss jetzt Gas geben, damit der Fonds schnell an den Start gehen kann!Wir müssen dafür sorgen, dass das Know-how der Startups und damit auch die hochqualifizierten Arbeitsplätz in Deutschland bleiben. Dazu brauchen wir den Zukunftsfonds - und zwar so schnell wie möglich!“"
https://www.cducsu.de/presse/pressemitteilungen/folterkammer-fall-zwingt-zum-handeln,09.07.2020,Thorsten Frei,Folterkammer-Fall zwingt zum Handeln,Strafmaß bei Organisierter Kriminalität erhöhen,"Die niederländische Polizei hat in der Provinz Brabant ein selbst gebautes Gefängnis mit einer dazugehörigen Folterkammer entdeckt. Die Kriminalpolizei war der Bande über das Abfangen von Telefon- und Chatgesprächen auf die Spur gekommen. Erst vor wenigen Tagen hatte die europäische Justizbehörde Eurojust berichtet, dass die Polizei das Netzwerk geknackt habe und damit ein großer Schlag gegen die Organisierte Kriminalität in Europa gelungen sei. Dazu erklärt der Stellvertretende Vorsitzende der CDU/CSU-Bundestagsfraktion Thorsten Frei:","„Der Schlag gegen die Organisierte Kriminalität in den Niederlanden und Großbritannien ist ein beeindruckender Fahndungserfolg. Er zeigt wieder einmal, wie wichtig es ist, europaweit im Kampf gegen solche Verbrecher zusammenzuwirken. Er zeigt aber auch, wie sicher sich die Täter gefühlt haben müssen, wenn sie mitten Europa ein Foltergefängnis aus sieben Schiffscontainern errichten wollten. Diese Dreistigkeit zeigt: Der Druck auf das organisierte Verbrechen muss zunehmen. Für Deutschland haben die Ermittler mit der Quellenüberwachung der Telekommunikation seit 2017 ein wichtiges Instrument an der Hand, um Einblicke in Schwerstkriminalität zu erhalten.Aber die Hürden dafür sind hoch: Ob ein genügend großer Verdacht besteht, dürfte oft von Zufallsfunden abhängen. Deshalb müssen wir das Strafrecht mit der Organisierten Kriminalität auf Augenhöhe bringen. Ziel muss sein, schon die Bildung einer kriminellen Struktur bei der Organisierten Kriminalität, bei Mafia oder bei Clans, besser unter Strafe zu stellen. Und wir müssen dafür sorgen, dass schon beim Verdacht auf solche kriminellen Strukturen wirklich wirksam ermittelt werden kann.Wir müssen beispielsweise den Tatbestand des § 129, die ‚Bildung krimineller Vereinigungen‘, anpassen: Hier haben wir ebenfalls 2017 schon die Anforderungen an die Struktur der Vereinigung abgesenkt. Aber klar ist: Der Nachweis ist nach wie vor in der Praxis schwierig. Auch die Delikte, zu denen sich die Täter verabreden müssen, sind zu hoch angesetzt, weil mehr als zwei Jahre Freiheitsstrafe erforderlich sind - das ist nicht einmal beim Fund großer Mengen von Rauschgift wie hier der Fall, sondern nur, wenn Sie etwa nachweisen können, dass es eine Bande war oder die Täter das Rauschgift aus dem Ausland einführen. Auch die Höchststrafe, derzeit fünf Jahre, gehört auf 10 Jahre erhöht. Schließlich muss in der Praxis der Ermittlungen sichergestellt werden, dass Zeugen direkt nach der Tat vom Ermittlungsrichter vernommen werden können, so dass ihre Aussagen verwertbar bleiben: Sonst besteht die Gefahr, dass sie sich dank Drohungen später vor Gericht an nichts mehr erinnern.“"
https://www.cducsu.de/presse/pressemitteilungen/wichtiges-signal-fuer-die-religionsfreiheit,08.07.2020,Michael Brand,Wichtiges Signal für die Religionsfreiheit ,Amt des EU-Sonderbeauftragten bleibt bestehen – Elementares Menschenrecht weltweit unter Druck,"Die EU-Kommission hat am heutigen Mittwoch mitgeteilt, dass sie das Amt des EU-Sonderbeauftragten für Religionsfreiheit außerhalb der Europäischen Union doch neu besetzt. Dazu erklärt der Vorsitzende der Arbeitsgruppe Menschenrechte und humanitäre Hilfe der CDU/CSU-Bundestagsfraktion, Michael Brand:","„Die Mitteilung der EU-Kommission, das Amt des EU-Sonderbeauftragten für Religionsfreiheit neu zu besetzen, ist ein wichtiges Signal. Es ist auch ein wesentlicher Schritt, um dem weltweit unter Druck stehenden elementaren Menschenrecht zu seiner Umsetzung zu verhelfen.In Anbetracht der zunehmend kritischen Lage religiöser Minderheiten in vielen Teilen der Welt braucht es einen langen Atem, die universelle Gültigkeit des Menschenrechts auf Religionsfreiheit für alle und überall durchzusetzen. Rund 80 Prozent aller Menschen weltweit fühlen sich einer Religionsgemeinschaft zugehörig. Religiöse Werte prägen das Denken und Handeln. Sie haben eine bedeutende politische und gesellschaftliche Gestaltungskraft. Religiöse Akteure, die sich für Toleranz und Frieden engagieren, gehören zu den wichtigsten zivilgesellschaftlichen Kräften weltweit. Die EU wird nun wieder eine starke Stimme für weltweite Religionsfreiheit haben. Das begrüßen wir ausdrücklich. Es ist besonders in diesen Zeiten, in denen Extremisten und Populisten Religion gezielt instrumentalisieren, wichtig, mit Haltung für das Recht auf Religionsfreiheit einzutreten. Die EU kann damit einmal mehr unter Beweis stellen, dass sie ihrer Verantwortung und Vorreiterrolle in der Welt nachkommt und für ihre Grundwerte, zu denen die Achtung der Menschenrechte und der Menschenwürde zählt, aktiv eintritt. Der Einsatz für Religionsfreiheit ist ein zentrales Anliegen unserer Menschenrechtspolitik. Unsere Solidarität und unser beharrlicher Einsatz gelten allen benachteiligten religiösen Minderheiten, darunter viele Millionen verfolgter Christen. Das Wort ergreifen wir aber nicht nur für verfolgte Christen aller Konfessionen, sondern auch für Jesiden, unterdrückte Buddhisten wie Tibeter und Uiguren, für die Bahá’í, die Ahmadiyya, Schabak, Aleviten, Juden, Muslime, Sunniten wie auch Schiiten – kurzum für alle religiös Verfolgten.Darum sehen wir ebenfalls dem in Kürze erscheinenden Bericht des Beauftragten der Bundesregierung für weltweite Religionsfreiheit mit großem Interesse entgegen. Es war eine richtige Entscheidung, dass die Bundesregierung das Amt in dieser Wahlperiode neu geschaffen hat, das Markus Grübel mit Beharrlichkeit und Kompetenz ausfüllt.“"
https://www.cducsu.de/presse/pressemitteilungen/realistische-strategien-fuer-die-landwirtschaft-deutschland-und-auf-eu-ebene,08.07.2020,"Gitta Connemann, Albert Stegemann",Realistische Strategien für die Landwirtschaft in Deutschland und auf EU-Ebene,Auf die neue Zukunftskommission warten große Aufgaben,"Das Bundeskabinett hat am heutigen Mittwoch die Einsetzung der „Zukunftskommission Landwirtschaft“ beschlossen. Dazu erklären die stellvertretende Vorsitzende der CDU/CSU-Fraktion im Deutschen Bundestag, Gitta Connemann, und der agrarpolitische Sprecher Albert Stegemann:","Connemann: „Unsere Höfe in Deutschland brauchen dringend Planungs- und Rechtssicherheit. Politik und Gesellschaft müssen sich festlegen: Welche Landwirtschaft wollen wir in Zukunft, und was sind wir dafür bereit zu zahlen? Wir brauchen einen Gesellschaftsvertrag, bindend für alle, über Wahlperioden hinweg. Dieses Leitbild kann nur mit den Betroffenen entwickelt werden, mit unseren Bäuerinnen und Bauern. Dafür bietet die ‚Zukunftskommission Landwirtschaft‘ das Fundament. Dabei werden Verbraucher und Wissenschaft eingebunden. Die Zukunftskommission hat eine große Aufgabe: Sie soll ein gesellschaftliches Leitbild für die Landwirtschaft in Deutschland und den Umsetzungspfad dazu entwickeln. Dafür müssen Widersprüche und Zielkonflikte gelöst werden. Wer zum Beispiel von bäuerlicher Landwirtschaft spricht, aber dafür erforderliche Änderungen im Baurecht etc. blockiert, gefährdet diese Strukturen. Maßstab müssen Sachlichkeit und Fakten sein, nicht Ideologie oder Lautstärke. Von Bilderbuchromantik kann kein Betrieb überleben.“Stegemann: „Wir wünschen der breit aufgestellten Zukunftskommission Landwirtschaft unter Leitung von Prof. Dr. Peter Strohschneider viel Erfolg bei ihrer Arbeit. Die unterschiedlichen Biografien der Mitglieder, die gewählten Schwerpunkte sowie die Verbindung der Themen mit der für die Agrar- und Ernährungspolitik bedeutsamen europäischen Ebene sind ein gutes Grundgerüst für eine konstruktiv kritische Herangehensweise der Zukunftskommission.Die CDU/CSU-Bundestagsfraktion wird die Arbeit der Kommission eng begleiten und unterstützen. Denn unsere Landwirtinnen und Landwirte erwarten möglichst konkrete, aber vor allem national wie EU-weit umsetzbare realistische Empfehlungen und Vorschläge. Diese müssen ferner finanzierbar sein und dürfen nicht zu ökonomischen oder ökologischen Verwerfungen führen. Gleichzeitig erhoffen wir uns von der Kommission wichtige Impulse für einen offenen und sachlichen Dialog zwischen Gesellschaft und Landwirtschaft. Dies ist unverzichtbar für die Agrarpolitik und die Akzeptanz unserer Landwirtschaft.“"
